,0
gene_id,EQU24_RS12865
name,<i>Not Available</i>
operon,1218
gene_product,M23 family metallopeptidase
cog,M
regulator,<i>Not Available</i>
link,"<a href=""https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12865"">BioCyc</a>"
