,-0.18778094886805735,-0.14605184911960017,-0.104322749371143,-0.06259364962268582,-0.020864549874228644,0.020864549874228533,0.06259364962268571,0.10432274937114289,0.14605184911960006,0.18778094886805724,0.22951004861651442,0.2712391483649716,0.31296824811342877,0.35469734786188595,0.3964264476103431,0.4381555473588003,0.4798846471072575,0.5216137468557147,0.5633428466041719,0.6050719463526291
thresh,-0.20864549874228594,0.20864549874228594,1,,,,,,,,,,,,,,,,,
unreg,0,0,2,7,2322,1850,22,6,1,0,0,1,1,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[nan],[nan],[],[],[],[],[nan],[],[]
