,-0.3912636194995306,-0.3260530162496088,-0.260842412999687,-0.19563180974976524,-0.13042120649984346,-0.06521060324992167,1.1102230246251565e-16,0.0652106032499219,0.13042120649984368,0.19563180974976546,0.26084241299968725,0.32605301624960903,0.3912636194995308,0.4564742227494526,0.5216848259993744,0.5868954292492962,0.652106032499218,0.7173166357491397,0.7825272389990615,0.8477378422489833
thresh,-0.4238689211244915,0.4238689211244915,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,2,31,4142,36,1,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['cas2'],[],[]
