,-0.35757093232156406,-0.3064893705613406,-0.2554078088011172,-0.20432624704089375,-0.1532446852806703,-0.10216312352044687,-0.05108156176022344,0.0,0.05108156176022344,0.10216312352044687,0.1532446852806703,0.2043262470408938,0.2554078088011172,0.30648937056134057,0.35757093232156406,0.40865249408178755,0.45973405584201094,0.5108156176022343,0.5618971793624579,0.6129787411226812
thresh,-0.3831117132016758,0.3831117132016758,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,3,61,4073,68,5,0,2,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[nan],[]
