,32
5G_uMax:1,-2.460504675402931
5G_uMax:2,-2.893853334047682
5G_lowO2_fast_growth:1,0.1258980990941117
5G_lowO2_fast_growth:2,1.257537859581937
5G_lowCH4:1,-0.9176234016201128
5G_lowCH4:2,-0.8044241633960197
5G_lowCH4:3,-0.786028309147773
5G_lowCH4:4,-1.1616490876842975
5G_lowCH4:5,-2.397827658095004
5G_lowCH4:6,-2.6103821540898404
5G_lowCH4:7,-3.227381183010789
5G_lowCH4:8,-2.998764124690067
5G_MeOH:1,-1.6536831548573798
5G_MeOH:2,-1.4468550272527028
5G_MeOH:3,-1.5530557876931266
5G_MeOH:4,-2.4520532744643013
5G_MeOH:5,-3.0098273036808347
5G_lowO2_fast_growth:3,11.405217385140066
5G_lowO2_fast_growth:4,11.163080469741544
5G_lowO2_fast_growth:5,11.077200916465156
5G_lowO2_fast_growth:6,11.696487854835317
5G_lowO2_fast_growth:7,11.628608063126183
5G_uMax:3,-2.6639181160991323
5G_uMax:4,0.8476171525731582
5G_uMax:5,1.6769287151383707
5G_uMax:6,1.0405681450504003
5G_uMax:7,1.124725383911551
5G_uMax:8,0.5960050710648758
5G_uMax:9,0.5081463063924122
5G_uMax:10,0.9099293260223988
5G_uMax:11,0.6612627651592692
5G_uMax:12,0.6530932602372979
5G_lowO2_fast_growth:8,3.997263742258494
5G_lowO2_fast_growth:9,2.7991918432822147
5G_lowO2_fast_growth:10,4.2773686022326345
5G_lowO2_fast_growth:11,4.355013290739928
5G_lowO2_fast_growth:12,3.832745103503688
5G_MeOH:6,0.6327877297576329
5G_MeOH:7,1.6755303379403057
5G_NoCu:1,-0.9863265966605782
5G_medCu:1,-0.1352575687738295
5G_highCu:1,-1.6803680324243129
5G_highCu:2,-1.0938890799968808
5G_highCu:3,-1.4735784391933806
5G_highCu:4,-1.5004885535318817
5G_highCu:5,-1.4093928522570325
5G_NoCu:2,-0.6566049756374219
5G_NoCu:3,-1.1731373358708963
5G_lowCu:1,0.0444269524139121
5G_lowCu:2,-0.0311616993074382
5G_medCu:2,0.208997279297068
5G_medCu:3,0.8630542213284911
5G_medCu:4,-0.6679377642000566
5G_medCu:5,-0.9689395004305992
5G_lowCu:3,-0.6947402636236408
5G_lowCu:4,0.2945113613378214
5G_lowCu:5,-0.1712620226742131
5G_lowCu:6,0.3717395731051413
5G_lowCu:7,0.1084371294994885
5G_lowCu:8,1.1339656143353531
5G_medCu:6,1.0179637110041024
5G_medCu:7,1.2749713062406804
5G_highO2_slow_growth:1,6.320615893295814
5G_highO2_slow_growth:2,3.942442207285117
5G_highO2_slow_growth:3,6.969632543470877
5G_highO2_slow_growth:4,4.63453410500732
5G_NO3_lowO2_slow_growth:1,32.678480787696294
5G_NO3_lowO2_slow_growth:2,7.856980355445547
5G_NO3_lowO2_slow_growth:3,37.847335404287975
5G_NO3_lowO2_slow_growth:4,32.57279774485172
5G_LanzaTech:1,-0.3517223277441794
5G_LanzaTech:2,0.7087190077457564
5G_WithLanthanum:1,2.829759953182305
5G_NoLanthanum:1,3.0584110560479214
5G_aa3_KO:1,39.591846191585866
5G_aa3_KO:2,46.15959581011851
5G_crotonic_acid:1,-2.965259467886252
5G_crotonic_acid:2,-2.837392237520815
5G_WithLanthanum:2,0.4033972259762216
5G_WithLanthanum:3,2.9855091248249384
5G_NoLanthanum:2,-1.3515065844319585
5G_NoLanthanum:3,7.177957005174737
5G_WithLanthanum:4,-0.8001360877658255
5G_WithLanthanum:5,-0.811076589913085
5G_NoLanthanum:4,-0.7136944088115023
5G_NoLanthanum:5,-0.6184911636041047
