,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,-8.604228440844963e-16,1.6434019442935088,12.0,0.0,-2.460504675402931,1.0,-2.893853334047682,22.0,-2.6639181160991323,23.0,0.8476171525731582,24.0,1.6769287151383707,25.0,1.0405681450504003,26.0,1.124725383911551,27.0,0.5960050710648758,28.0,0.5081463063924122,29.0,0.9099293260223988,30.0,0.6612627651592692,31.0,0.6530932602372979
1,5G__lowO2_fast_growth,6.467967769166774,4.5204344153565765,12.0,2.0,0.1258980990941117,3.0,1.257537859581937,17.0,11.405217385140066,18.0,11.163080469741544,19.0,11.077200916465156,20.0,11.696487854835317,21.0,11.628608063126183,32.0,3.997263742258494,33.0,2.7991918432822147,34.0,4.2773686022326345,35.0,4.355013290739928,36.0,3.832745103503688
2,5G__lowCH4,-1.863010010216738,1.0462311753902982,8.0,4.0,-0.9176234016201128,5.0,-0.8044241633960197,6.0,-0.786028309147773,7.0,-1.1616490876842975,8.0,-2.397827658095004,9.0,-2.6103821540898404,10.0,-3.227381183010789,11.0,-2.998764124690067,,,,,,,,
3,5G__MeOH,-1.115308068607201,1.67392268808002,7.0,12.0,-1.6536831548573798,13.0,-1.4468550272527028,14.0,-1.5530557876931266,15.0,-2.4520532744643013,16.0,-3.0098273036808347,37.0,0.6327877297576329,38.0,1.6755303379403057,,,,,,,,,,
4,5G__NoCu,-0.9386896360562987,0.26154039803403445,3.0,39.0,-0.9863265966605782,46.0,-0.6566049756374219,47.0,-1.1731373358708963,,,,,,,,,,,,,,,,,,
5,5G__medCu,0.22755024063797952,0.8651753038656267,7.0,40.0,-0.1352575687738295,50.0,0.208997279297068,51.0,0.8630542213284911,52.0,-0.6679377642000566,53.0,-0.9689395004305992,60.0,1.0179637110041024,61.0,1.2749713062406804,,,,,,,,,,
6,5G__highCu,-1.4315433914806976,0.2138546018903382,5.0,41.0,-1.6803680324243129,42.0,-1.0938890799968808,43.0,-1.4735784391933806,44.0,-1.5004885535318817,45.0,-1.4093928522570325,,,,,,,,,,,,,,
7,5G__lowCu,0.13198958063580304,0.5207320948793419,8.0,48.0,0.0444269524139121,49.0,-0.0311616993074382,54.0,-0.6947402636236408,55.0,0.2945113613378214,56.0,-0.1712620226742131,57.0,0.3717395731051413,58.0,0.1084371294994885,59.0,1.1339656143353531,,,,,,,,
8,5G__highO2_slow_growth,5.4668061872647815,1.4146660893870684,4.0,62.0,6.320615893295814,63.0,3.942442207285117,64.0,6.969632543470877,65.0,4.63453410500732,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,27.738898573070387,13.48131077752995,4.0,66.0,32.678480787696294,67.0,7.856980355445547,68.0,37.847335404287975,69.0,32.57279774485172,,,,,,,,,,,,,,,,
10,5G__LanzaTech,0.17849834000078849,0.7498452593754523,2.0,70.0,-0.3517223277441794,71.0,0.7087190077457564,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,0.9214907252609109,1.8798851466853927,5.0,72.0,2.829759953182305,78.0,0.4033972259762216,79.0,2.9855091248249384,82.0,-0.8001360877658255,83.0,-0.811076589913085,,,,,,,,,,,,,,
12,5G__NoLanthanum,1.5105351808750185,3.612022403341918,5.0,73.0,3.0584110560479214,80.0,-1.3515065844319585,81.0,7.177957005174737,84.0,-0.7136944088115023,85.0,-0.6184911636041047,,,,,,,,,,,,,,
13,5G__aa3_KO,42.87572100085219,4.644100292399794,2.0,74.0,39.591846191585866,75.0,46.15959581011851,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-2.9013258527035335,0.090415785682943,2.0,76.0,-2.965259467886252,77.0,-2.837392237520815,,,,,,,,,,,,,,,,,,,,
