,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,3.978299171573478e-16,0.3300386979980527,12.0,0.0,-0.0249628297167152,1.0,-0.2681712585660238,22.0,-0.7858484106519092,23.0,-0.2389570887115621,24.0,0.1374215418436577,25.0,0.1221260616108153,26.0,0.0326978747049828,27.0,0.1371000155145085,28.0,-0.1253322226651061,29.0,0.1894658952582752,30.0,0.3581664644508651,31.0,0.4662939569282165
1,5G__lowO2_fast_growth,0.14519945805653492,0.21777994354985103,12.0,2.0,0.5006971596304757,3.0,0.0745197901504757,17.0,0.0213652592219033,18.0,0.0761074968073716,19.0,0.1000754074226177,20.0,0.3158196015437071,21.0,0.3020009936910508,32.0,0.0975327657122195,33.0,0.3270351064591277,34.0,0.2157219998670587,35.0,-0.3751423371930333,36.0,0.0866602533654448
2,5G__lowCH4,-0.14604179410637502,0.13718700738623338,8.0,4.0,-0.1891503268119945,5.0,-0.1704465408663451,6.0,-0.0054626979524732,7.0,-0.1634721242560601,8.0,0.055631593121296,9.0,-0.0977082372828652,10.0,-0.3976171321217812,11.0,-0.2001088866807769,,,,,,,,
3,5G__MeOH,-0.034093097806519125,0.1651964451431076,7.0,12.0,-0.02970404770682,13.0,0.2227059484585023,14.0,0.0738727807178647,15.0,0.0406922898720059,16.0,-0.2208978475003902,37.0,-0.0833837532316144,38.0,-0.2419370552551822,,,,,,,,,,
4,5G__NoCu,0.10370186795377286,0.02572285393735102,3.0,39.0,0.0781816056345441,46.0,0.1033013618548572,47.0,0.1296226363719173,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.28346006688000336,0.33681274653198484,7.0,40.0,0.4312335438871484,50.0,-0.263838755512142,51.0,-0.2165610967497166,52.0,-0.5413732931908595,53.0,-0.4594498658735657,60.0,-0.4616724371975202,61.0,-0.472558563523368,,,,,,,,,,
6,5G__highCu,-0.3042320894206166,0.8650380571005488,5.0,41.0,0.3742677893513195,42.0,0.2671053001674677,43.0,-1.7597953871926946,44.0,-0.3837817240626502,45.0,-0.0189564253665253,,,,,,,,,,,,,,
7,5G__lowCu,-0.17835484002921692,0.2524533834165747,8.0,48.0,-0.4066011530557856,49.0,0.0438983713420202,54.0,-0.4433790644453952,55.0,0.0295517005426253,56.0,0.1430886079747444,57.0,-0.1868790002069582,58.0,-0.0835178324521219,59.0,-0.5230003499328646,,,,,,,,
8,5G__highO2_slow_growth,0.9013240148708611,0.5510424464873122,4.0,62.0,1.4146936226737497,63.0,0.9557041554948138,64.0,1.1090118991953628,65.0,0.1258863821195182,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,0.12707280743725635,0.15430839318728054,4.0,66.0,0.1916551402842503,67.0,0.286549741439619,68.0,-0.0764122602131465,69.0,0.1064986082383026,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-0.1861632759821951,0.342218108788006,2.0,70.0,-0.4281480213510298,71.0,0.0558214693866396,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,0.682813291309915,0.1755448593929656,5.0,72.0,0.4443397524416097,78.0,0.6190866108750712,79.0,0.6432144633271943,82.0,0.8194206106113584,83.0,0.8880050192943414,,,,,,,,,,,,,,
12,5G__NoLanthanum,0.6133362287573562,0.5068635487724488,5.0,73.0,-0.2683448286151924,80.0,0.7282736890714849,81.0,0.7314149553100333,84.0,1.017496224430634,85.0,0.8578411035898208,,,,,,,,,,,,,,
13,5G__aa3_KO,-0.03829604760948151,0.009570610795111192,2.0,74.0,-0.0450634914028018,75.0,-0.0315286038161612,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,0.5898410815705535,0.1054246501436719,2.0,76.0,0.6643875665913632,77.0,0.5152945965497437,,,,,,,,,,,,,,,,,,,,
