,EQU24_RS12920
5GB1_FM03_TR1_QC_tpm,-0.0642139555277561
5GB1_FM03_TR2_QC_tpm,-0.1142388448759197
5GB1_FM11_TR1_QC_tpm,-0.0751897389372606
5GB1_FM11_TR2_QC_tpm,-0.0724835470192166
5GB1_FM12_TR1_tpm,-0.3303528872494246
5GB1_FM12_TR1_QC_tpm,-0.4302557707270376
5GB1_FM12_TR2_tpm,-0.2778017721288774
5GB1_FM12_TR2_QC_tpm,-0.1985328116747302
5GB1_FM14_TR1_tpm,-0.0227288602941255
5GB1_FM14_TR1_QC_tpm,-0.1634571288554438
5GB1_FM14_TR2_tpm,-0.4493913444949724
5GB1_FM14_TR2_QC_tpm,-0.445270104312879
5GB1_FM18_TR1_QC_tpm,-0.8891575513985703
5GB1_FM18_TR2_tpm,-0.7870269043109359
5GB1_FM18_TR2_QC_tpm,-0.7157703154550625
5GB1_FM18_TR3_tpm,-1.0806907239310082
5GB1_FM18_TR3_QC_tpm,-1.0256091700462977
5GB1_FM19_TR1_tpm,-1.0640979042558567
5GB1_FM19_TR1_QC_tpm,-0.5132582484164461
5GB1_FM19_TR1_UW_tpm,-0.5323738233235362
5GB1_FM19_TR3_tpm,-0.4423512366531366
5GB1_FM19_TR3_QC_tpm,-0.450298407096608
5GB1_FM20_TR1_QC_tpm,-0.0834379232647757
5GB1_FM20_TR2_QC_tpm,0.3204639761099397
5GB1_FM20_TR3_tpm,-0.0736630887843041
5GB1_FM20_TR3_QC_tpm,0.1803610151009369
5GB1_FM20_TR3_UW_tpm,0.2115743523531161
5GB1_FM21_TR1_tpm,-0.1593197258232903
5GB1_FM21_TR1_QC_tpm,-0.0991887105276383
5GB1_FM21_TR2_tpm,-0.1970318286887762
5GB1_FM21_TR2_QC_tpm,0.1237190652683324
5GB1_FM21_TR2_UW_tpm,-0.0450243313398628
5GB1_FM22_TR1_tpm,-0.1620513540253334
5GB1_FM22_TR1_QC_tpm,-0.258436980001516
5GB1_FM22_TR3_tpm,-0.4779903329035671
5GB1_FM22_TR3_QC_tpm,0.028876752735619
5GB1_FM22_TR3_UW_tpm,0.0243824908982936
5GB1_FM23_TR3_tpm,-1.007945319811184
5GB1_FM23_TR3_QC_tpm,-0.8926390935745809
5GB1_FM34_T0_TR1_QC_tpm,0.1312383343281649
5GB1_FM34_T3_TR3_QC_tpm,-0.0903351247257919
5GB1_FM34_T4_TR3_QC_tpm,-0.1783751207337971
5GB1_FM34_T5_TR2_QC_tpm,-0.1866027097651441
5GB1_FM34_T6_TR3_QC_tpm,0.0753258412637487
5GB1_FM34_T7_TR3_QC_tpm,-0.0713758875854653
5GB1_FM34_T8_TR1_QC_tpm,0.3980228965931882
5GB1_FM40_T0_TR1_QC_tpm,-0.1462061629448765
5GB1_FM40_T0m_TR2_tpm,0.3958209996075794
5GB1_FM40_T10m_TR3_tpm,0.0624192290062692
5GB1_FM40_T10m_TR3_QC_tpm,-0.0881809018564796
5GB1_FM40_T150m_TR1_QC_tpm,0.0173273000068903
5GB1_FM40_T150m_TR1_remake_tpm,0.0208367595182297
5GB1_FM40_T180m_TR1_tpm,-0.342757743329817
5GB1_FM40_T180m_TR1_QC_tpm,-0.2409191896092783
5GB1_FM40_T20m_TR2_tpm,0.1759905720415293
5GB1_FM40_T20m_TR2_QC_tpm,-0.3001800183557543
5GB1_FM40_T40m_TR1_tpm,-0.2912912909829321
5GB1_FM40_T40m_TR1_QC_tpm,-0.0638604003200447
5GB1_FM40_T60m_TR1_tpm,0.1604837903787919
5GB1_FM40_T60m_TR1_QC_tpm,-0.1373233551284993
5GB1_FM40_T90m_TR2_tpm,-0.0578470964606117
5GB1_FM40_T90m_TR2_QC_tpm,-0.1040508160774678
5GB1_FM69_t3_TR1_tpm,0.1242674954901632
5GB1_FM69_t3_TR1_UW_tpm,0.4936221448786462
5GB1_FM69_t4_TR1_tpm,0.0475139086992193
5GB1_FM69_t4_TR1_UW_tpm,-0.6111536357365344
5GB1_FM80_t2_TR1_tpm,-0.2155416223071622
5GB1_FM80_t4_TR1_tpm,-0.2721085207847551
5GB1_FM81_t1_TR3_tpm,-0.4406468569155066
5GB1_FM81_t2_TR3_tpm,-0.2603092226274741
5GB1_LTrecycle_TR1_tpm,-0.6807321618221254
5GB1_LTrecycle_TR1_QC_tpm,-0.6049964845446771
5GB1_vial_wLa_TR3_tpm,-0.4632407683994399
5GB1_vial_woLa_TR2_tpm,-0.2424615411655857
5GB1_FM_85_TR1_tpm,-0.91331017167467
5GB1_FM_85_TR2_tpm,-0.6860491602269754
5GB1_pA9_red_tpm,0.1886351069128808
5GB1_pA9_yellow_tpm,0.2214418347300828
5GB1C-5G-La-BR1_tpm,0.0560796215999452
5GB1C-5G-La-BR2_tpm,0.2858865015392267
5GB1C-5G-N-BR1_tpm,0.3017898179260116
5GB1C-5G-N-BR2_tpm,0.357371463977187
5GB1C-JG15-La-BR1_tpm,0.4103671626567724
5GB1C-JG15-La-BR2_tpm,0.3238694225747078
5GB1C-JG15-N-BR1_tpm,0.3741880278752862
5GB1C-JG15-N-BR2_tpm,0.6074090999028243
