,0
gene_id,EQU24_RS22045
name,<i>Not Available</i>
operon,13
gene_product,cyclic nucleotide-binding domain-containing protein
cog,Transcription
regulator,<i>Not Available</i>
link,"<a href=""https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS22045"">BioCyc</a>"
