,-0.11713664116407645,-0.09583907004333528,-0.07454149892259411,-0.05324392780185294,-0.03194635668111177,-0.010648785560370605,0.010648785560370563,0.031946356681111746,0.0532439278018529,0.07454149892259405,0.09583907004333524,0.11713664116407642,0.13843421228481756,0.1597317834055587,0.18102935452629992,0.20232692564704108,0.22362449676778223,0.2449220678885234,0.26621963900926454,0.28751721013000575
thresh,-0.04259514224148235,0.04259514224148235,1,,,,,,,,,,,,,,,,,
unreg,1,0,3,13,163,2030,1775,177,32,13,1,1,1,3,0,0,0,0,0,0
unreg_genes,[nan],[],['nan' 'nifH' 'nan'],"['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nifT' 'nan' 'nan' 'nan'
 'nan']",[],[],[],[],"['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan' 'acnA' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan']","['nan' 'coxB' 'nan' 'nan' 'nan' 'lexA' 'umuD' 'umuD' 'nan' 'nan' 'ctaD'
 'nan' 'nan']",[nan],['lexA'],[nan],['nan' 'lexA' 'umuD'],[],[],[],[],[],[]
