,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,-1.7578531223231644e-16,0.30526026028372705,12.0,0.0,-0.5697140846579467,1.0,-0.5846286856028575,22.0,-0.2883030418192014,23.0,0.189624541558806,24.0,0.2388311890086889,25.0,0.1217795083783306,26.0,0.1275159879574419,27.0,0.0846345071282392,28.0,0.1108750219062608,29.0,0.2429107297277024,30.0,0.0640010958396679,31.0,0.2624732305748658
1,5G__lowO2_fast_growth,-0.38607098283228036,0.21624287012750149,12.0,2.0,-0.8142592228395378,3.0,-0.5298863529171101,17.0,-0.5946616869374566,18.0,-0.5174367030471521,19.0,-0.5020780075272961,20.0,-0.1955112043107574,21.0,-0.3864098326739285,32.0,-0.0579551083703568,33.0,-0.357836515758458,34.0,-0.2322300412424951,35.0,-0.3060628660708078,36.0,-0.138524252292008
2,5G__lowCH4,-0.7297662723171773,0.22984556741782464,8.0,4.0,-0.7913869149766377,5.0,-0.903692051997786,6.0,-0.7646345516731738,7.0,-0.7906912990614483,8.0,-0.4762481502627151,9.0,-0.284114501041663,10.0,-0.9259594501079312,11.0,-0.901403259416063,,,,,,,,
3,5G__MeOH,-1.210751660295766,0.37059428715419435,7.0,12.0,-0.9260324339429368,13.0,-0.7563876856703979,14.0,-0.7894250028343794,15.0,-1.4076015185707074,16.0,-1.4536906933241769,37.0,-1.5428095967377256,38.0,-1.599314690990036,,,,,,,,,,
4,5G__NoCu,-0.5394559223128876,0.2527131422721794,3.0,39.0,-0.7684380389073606,46.0,-0.5816151911363283,47.0,-0.268314536894974,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.7959014200994379,0.13493210284802734,7.0,40.0,-0.769897223866848,50.0,-0.7961985919289525,51.0,-0.6119600495109365,52.0,-0.9854892127377096,53.0,-0.6696681086889997,60.0,-0.9469905520148378,61.0,-0.7911062019477813,,,,,,,,,,
6,5G__highCu,-0.4051583677798586,0.16263289455070504,5.0,41.0,-0.6519073311133194,42.0,-0.3230014061186042,43.0,-0.2154717313444321,44.0,-0.3871514226512955,45.0,-0.4482599476716418,,,,,,,,,,,,,,
7,5G__lowCu,-0.6903830657226684,0.29069710304926605,8.0,48.0,-0.753662875331286,49.0,-0.5762670250229132,54.0,-0.3187806533987807,55.0,-0.6705987459944573,56.0,-0.8402936411835817,57.0,-0.8032036428799838,58.0,-0.3415421810794496,59.0,-1.2187157608908947,,,,,,,,
8,5G__highO2_slow_growth,-0.6724699079661536,0.48881401348595743,4.0,62.0,-0.3802655228628264,63.0,-0.7454369229318134,64.0,-0.2334186926569472,65.0,-1.3307584934130272,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.9821385645623681,0.28777171496225573,4.0,66.0,-0.7004837319539368,67.0,-0.7679931237428539,68.0,-1.2430964513863874,69.0,-1.2169809511662946,,,,,,,,,,,,,,,,
10,5G__LanzaTech,0.3111665644480168,0.19307797886140324,2.0,70.0,0.1746398162973257,71.0,0.4476933125987079,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-1.113389894923571,0.2914123114964488,5.0,72.0,-1.5707165394975444,78.0,-1.170414023929995,79.0,-0.7812330052498355,82.0,-1.008883534333413,83.0,-1.0357023716070666,,,,,,,,,,,,,,
12,5G__NoLanthanum,-0.7875731920456837,0.32081891191869194,5.0,73.0,-1.1986361089378113,80.0,-0.8696916662288983,81.0,-0.3655285268903183,84.0,-0.9183343442946904,85.0,-0.5856753138766999,,,,,,,,,,,,,,
13,5G__aa3_KO,-1.8864077616797061,0.20233195593497696,2.0,74.0,-2.029478059772066,75.0,-1.7433374635873462,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-0.2799950904963615,0.3143437448269185,2.0,76.0,-0.5022696840870493,77.0,-0.0577204969056737,,,,,,,,,,,,,,,,,,,,
