,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,1.27675647831893e-15,3.7903625955220956,12.0,0.0,-4.099179537277089,1.0,3.3488663830675,22.0,-3.1530988869166543,23.0,4.142429304476882,24.0,1.9945166988157523,25.0,3.780898756116224,26.0,1.9546359724588875,27.0,1.3321413897019287,28.0,-3.670020087775477,29.0,0.5514636478039466,30.0,-7.895551276157005,31.0,1.7128976356851198
1,5G__lowO2_fast_growth,0.9197994274076002,2.8587327689311004,12.0,2.0,-0.9843273404768192,3.0,4.585429641721943,17.0,1.5958462377008782,18.0,3.4271007863355,19.0,2.001937153523097,20.0,1.5634391049361138,21.0,-3.635780963787555,32.0,1.395306218215294,33.0,-5.000376588941973,34.0,1.1492960969808317,35.0,3.814943173950771,36.0,1.1247796087331217
2,5G__lowCH4,3.8784831451745516,1.1348775941096856,8.0,4.0,4.566155201681262,5.0,4.389650312758681,6.0,5.071316485339014,7.0,4.517868209533935,8.0,3.8945356899373738,9.0,1.705866360520226,10.0,2.620599507268475,11.0,4.261873394357442,,,,,,,,
3,5G__MeOH,4.75184940087103,0.6645678506924343,7.0,12.0,4.235003051459143,13.0,5.125401133933552,14.0,4.997273884421531,15.0,5.388030120201687,16.0,3.572651905471026,37.0,5.353458876699968,38.0,4.591126833910298,,,,,,,,,,
4,5G__NoCu,4.2686416657023925,1.061616511573571,3.0,39.0,5.309775178334928,46.0,4.30848580712163,47.0,3.187664011650618,,,,,,,,,,,,,,,,,,
5,5G__medCu,2.969991787382288,1.1949116182969126,7.0,40.0,4.43730905117494,50.0,1.6579052148644355,51.0,1.1383869187185949,52.0,3.077603719770244,53.0,3.6735070558914336,60.0,2.924768592190039,61.0,3.880461959066331,,,,,,,,,,
6,5G__highCu,1.7694518580164484,5.072407529239352,5.0,41.0,-7.170838851379064,42.0,5.281432855884159,43.0,4.225503593185196,44.0,2.9353346846200408,45.0,3.57582700777191,,,,,,,,,,,,,,
7,5G__lowCu,3.0263866926096368,1.1377675519983286,8.0,48.0,2.176273389479954,49.0,3.313595398094837,54.0,4.2971621187056765,55.0,2.2108201199040582,56.0,4.067609536651648,57.0,2.668854989475477,58.0,1.2220537325861376,59.0,4.254724255979307,,,,,,,,
8,5G__highO2_slow_growth,4.1789574930721205,0.5569299979549599,4.0,62.0,3.566149689207969,63.0,4.818067396542888,64.0,3.895461945957272,65.0,4.436150940580352,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,2.008936261235977,0.7043956481573892,4.0,66.0,2.397323936318545,67.0,2.255745793762052,68.0,2.4244890775525314,69.0,0.9581862373107796,,,,,,,,,,,,,,,,
10,5G__LanzaTech,1.4376180123393039,1.0868954911442774,2.0,70.0,2.2061691845685054,71.0,0.6690668401101021,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,3.4720521885210913,0.3836147522244212,5.0,72.0,3.858283459051661,78.0,3.332979764041837,79.0,2.887992042148674,82.0,3.5350327451692496,83.0,3.745972932194036,,,,,,,,,,,,,,
12,5G__NoLanthanum,3.6703777616086155,1.1604766176969306,5.0,73.0,4.722055317198627,80.0,3.2267353257059392,81.0,3.46379692964478,84.0,4.876903476390104,85.0,2.062397759103628,,,,,,,,,,,,,,
13,5G__aa3_KO,1.4989038116562454,1.3426449086446892,2.0,74.0,0.5495104920279931,75.0,2.4482971312844977,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,1.7293898243663672,0.2214582419788833,2.0,76.0,1.5727951997134475,77.0,1.885984449019287,,,,,,,,,,,,,,,,,,,,
