,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,-7.993605777301127e-15,5.541498743167346,12.0,0.0,9.52984986829902,1.0,7.499090589628314,22.0,8.468873214577227,23.0,-9.108164431771945,24.0,-1.7697951323314185,25.0,-1.6944385646920403,26.0,-1.9347668049654765,27.0,-1.5435673967955623,28.0,-1.338113562453257,29.0,-2.645132808872792,30.0,-2.406203678765819,31.0,-3.057631291856344
1,5G__lowO2_fast_growth,-4.034319418979947,4.724985719361921,12.0,2.0,5.468449831802217,3.0,5.010820470825815,17.0,-3.015084850162552,18.0,-4.971493531444684,19.0,-5.110999877394413,20.0,-6.696498622143539,21.0,-5.926576230671703,32.0,-9.213634875554993,33.0,-8.52647822195241,34.0,-2.7751961043230597,35.0,-6.88020525971569,36.0,-5.774935757024348
2,5G__lowCH4,-3.496205140703478,5.372030799239814,8.0,4.0,-5.870308599861351,5.0,-5.77790095453302,6.0,-10.125820212489488,7.0,-10.326414281264588,8.0,-1.3357291009231782,9.0,-0.890927251355737,10.0,3.191184502418927,11.0,3.16627477238061,,,,,,,,
3,5G__MeOH,-4.662657088956012,3.3987608600121852,7.0,12.0,-2.352690663622278,13.0,-7.056762535665365,14.0,-8.055785383740833,15.0,-0.6031910334227583,16.0,-0.3759343946242361,37.0,-7.197099860155487,38.0,-6.997135751461132,,,,,,,,,,
4,5G__NoCu,4.210089636543536,6.178450340528806,3.0,39.0,7.369128398785008,46.0,8.170299868352696,47.0,-2.909159357507096,,,,,,,,,,,,,,,,,,
5,5G__medCu,0.8938017376801369,3.434071694301472,7.0,40.0,4.545812106216365,50.0,-2.269320362884934,51.0,-2.9531573312191925,52.0,4.214019979670994,53.0,4.628294516860225,60.0,-0.3170957396088147,61.0,-1.591941005273686,,,,,,,,,,
6,5G__highCu,4.143301352345593,3.963537743993177,5.0,41.0,1.316397270307119,42.0,-0.0151881519356542,43.0,10.188705335164617,44.0,4.081598588208066,45.0,5.144993719983817,,,,,,,,,,,,,,
7,5G__lowCu,1.8707648138230972,6.482525465545413,8.0,48.0,-3.143197440220392,49.0,-3.771530637608784,54.0,-2.119120926382906,55.0,9.903074930593188,56.0,1.686196326842251,57.0,1.5966757725711604,58.0,-2.7056401140208077,59.0,13.519660598811068,,,,,,,,
8,5G__highO2_slow_growth,1.7146286023582173,3.3713575277291383,4.0,62.0,-1.786214601980245,63.0,2.580639904275172,64.0,0.0637869463262964,65.0,6.000302160811645,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,0.585981150884134,1.4896567295906302,4.0,66.0,-1.341995803482006,67.0,0.1734507937420057,68.0,1.8806692196866208,69.0,1.6318003935899157,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-8.098862942835675,0.729865646841498,2.0,70.0,-7.582769994598945,71.0,-8.614955891072404,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,0.2872617152911148,5.429597643534922,5.0,72.0,9.76886852771537,78.0,-1.753261909234763,79.0,-3.977449526652504,82.0,-0.7418685679839234,83.0,-1.859979947388606,,,,,,,,,,,,,,
12,5G__NoLanthanum,-1.1668538746058732,5.990553230224204,5.0,73.0,9.503926647486796,80.0,-3.956464264107073,81.0,-4.478061520064121,84.0,-2.9553201121204724,85.0,-3.948350124224496,,,,,,,,,,,,,,
13,5G__aa3_KO,3.0262461117934167,0.6463069401143717,2.0,74.0,2.5692380917106163,75.0,3.4832541318762167,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,3.712859528951977,0.2889456979826092,2.0,76.0,3.5085440665137937,77.0,3.91717499139016,,,,,,,,,,,,,,,,,,,,
