,-0.15327396662198786,-0.11495547496649089,-0.07663698331099392,-0.038318491655496945,2.7755575615628914e-17,0.038318491655497,0.07663698331099397,0.11495547496649097,0.15327396662198792,0.19159245827748486,0.22991094993298186,0.26822944158847883,0.3065479332439758,0.3448664248994727,0.3831849165549698,0.4215034082104667,0.45982189986596367,0.4981403915214606,0.5364588831769576,0.5747773748324546
thresh,-0.057477737483245445,0.057477737483245445,1,,,,,,,,,,,,,,,,,
unreg,2,3,21,193,3807,169,13,3,0,1,0,0,0,1,0,0,0,0,0,0
unreg_genes,['grxD' 'nan'],['nan' 'nan' 'sufB'],"['nan' 'sufC' 'sufD' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'cysI'
 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'sodB' 'nan' 'nan' 'sufT']",[],[],[],"['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nifH' 'nan' 'nan' 'nan' 'nan'
 'nifL']",['nan' 'yidD' 'nan'],[],[nan],[],[],[],[nan],[],[],[],[],[],[]
