,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,2.3129646346357427e-18,0.28129080560054215,12.0,0.0,-0.5578817776799458,1.0,-0.1869765509004954,22.0,0.2205435786926854,23.0,0.2659338354861149,24.0,0.1258619418755162,25.0,0.4082399975646935,26.0,0.3369266658938854,27.0,-0.111988050781528,28.0,-0.1839951905909149,29.0,-0.0480100371994849,30.0,-0.2438906372399043,31.0,-0.024763775120622
1,5G__lowO2_fast_growth,-0.707154582319674,0.2580617755488681,12.0,2.0,-1.1408348948982878,3.0,-0.5547178172262592,17.0,-1.1376391907159045,18.0,-0.6854872149848337,19.0,-0.923857586932332,20.0,-0.6631205272587688,21.0,-0.8637509793934597,32.0,-0.4526352270997247,33.0,-0.4743469362529517,34.0,-0.6349988635059911,35.0,-0.6039551523470812,36.0,-0.3505105972204934
2,5G__lowCH4,-0.8824099238590718,0.2861442022929114,8.0,4.0,-1.0997190626739957,5.0,-1.229804883593907,6.0,-1.0923510090041044,7.0,-1.0935910057347908,8.0,-0.5607818309994568,9.0,-0.455962379201321,10.0,-0.8022998266784791,11.0,-0.72476939298652,,,,,,,,
3,5G__MeOH,-1.1223829209510996,0.20723744890664828,7.0,12.0,-1.1798647084901002,13.0,-1.099494270307558,14.0,-0.7530468938021939,15.0,-1.179644951534999,16.0,-0.9901138140864744,37.0,-1.247491244879272,38.0,-1.4070245635571004,,,,,,,,,,
4,5G__NoCu,-0.2615140868882773,0.20635744944569825,3.0,39.0,-0.4585827067191448,46.0,-0.2789813556267639,47.0,-0.0469781983189232,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.40770952256077736,0.16432799536416556,7.0,40.0,-0.4423549207385036,50.0,-0.3793733554071981,51.0,-0.1040862645074529,52.0,-0.5543347624888799,53.0,-0.4910808637614732,60.0,-0.3051400274927913,61.0,-0.5775964635291424,,,,,,,,,,
6,5G__highCu,-0.17669371778841478,0.25029321382656844,5.0,41.0,-0.4307028979030241,42.0,-0.1051922755588141,43.0,0.2153960650783601,44.0,-0.3327533325616891,45.0,-0.2302161479969067,,,,,,,,,,,,,,
7,5G__lowCu,-0.4445514859075296,0.1444850613935817,8.0,48.0,-0.3187779258068386,49.0,-0.1572827216390804,54.0,-0.4417418152481995,55.0,-0.6013280173699243,56.0,-0.4728079750483558,57.0,-0.5762604460742913,58.0,-0.4855816024187547,59.0,-0.502631383654792,,,,,,,,
8,5G__highO2_slow_growth,0.10236061285019803,0.1281200930714305,4.0,62.0,0.0962043195998521,63.0,-0.0699183163409458,64.0,0.2340445698767257,65.0,0.1491118782651601,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.5916981889328083,0.20074549330607847,4.0,66.0,-0.4790072374302458,67.0,-0.3807796553631717,68.0,-0.8288316493659909,69.0,-0.678174213571825,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-0.614359010735045,0.07309333131704941,2.0,70.0,-0.5626742205012443,71.0,-0.6660438009688456,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-0.33478393068783313,0.1482349008670263,5.0,72.0,-0.3136531781184009,78.0,-0.3785234564992779,79.0,-0.1497599601926436,82.0,-0.5540340421694636,83.0,-0.2779490164593796,,,,,,,,,,,,,,
12,5G__NoLanthanum,-0.20316656576195485,0.22762372639235928,5.0,73.0,-0.4969969372147114,80.0,-0.1610413591262687,81.0,-0.2557006234464944,84.0,-0.2382618625364134,85.0,0.1361679535141138,,,,,,,,,,,,,,
13,5G__aa3_KO,-0.5900124654124572,0.04891832684499911,2.0,74.0,-0.624602946048856,75.0,-0.5554219847760584,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-0.12106777600714809,0.15975392657949464,2.0,76.0,-0.2340308608126866,77.0,-0.0081046912016096,,,,,,,,,,,,,,,,,,,,
