,-0.41714818388528396,-0.3529715402106249,-0.2887948965359658,-0.2246182528613067,-0.16044160918664763,-0.09626496551198854,-0.03208832183732946,0.032088321837329625,0.09626496551198871,0.16044160918664785,0.22461825286130688,0.2887948965359659,0.35297154021062505,0.4171481838852842,0.4813248275599432,0.5455014712346022,0.6096781149092614,0.6738547585839205,0.7380314022585797,0.8022080459332386
thresh,-0.4492365057226135,0.4492365057226135,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,5,2175,2025,5,1,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[nan],[]
