,EQU24_RS14140
5GB1_FM03_TR1_QC_tpm,0.5165798959280545
5GB1_FM03_TR2_QC_tpm,0.597337101478753
5GB1_FM11_TR1_QC_tpm,1.1037789989372095
5GB1_FM11_TR2_QC_tpm,1.3630544755085134
5GB1_FM12_TR1_tpm,-2.858350687440048
5GB1_FM12_TR1_QC_tpm,-2.8826943333770028
5GB1_FM12_TR2_tpm,-2.799091154591609
5GB1_FM12_TR2_QC_tpm,-3.036034263916755
5GB1_FM14_TR1_tpm,-2.1244017568208813
5GB1_FM14_TR1_QC_tpm,-2.200198905723032
5GB1_FM14_TR2_tpm,-2.2749173579703497
5GB1_FM14_TR2_QC_tpm,-2.3445642399553828
5GB1_FM18_TR1_QC_tpm,-3.663096332414794
5GB1_FM18_TR2_tpm,-3.4597056681376896
5GB1_FM18_TR2_QC_tpm,-3.954556891254199
5GB1_FM18_TR3_tpm,-3.1137761263148183
5GB1_FM18_TR3_QC_tpm,-3.628961625546375
5GB1_FM19_TR1_tpm,1.0591039568987783
5GB1_FM19_TR1_QC_tpm,1.4455118244886362
5GB1_FM19_TR1_UW_tpm,1.4539140362727156
5GB1_FM19_TR3_tpm,1.4059185004754315
5GB1_FM19_TR3_QC_tpm,1.3317451500656947
5GB1_FM20_TR1_QC_tpm,-0.6612058034588371
5GB1_FM20_TR2_QC_tpm,-0.2430571475903642
5GB1_FM20_TR3_tpm,-0.5905840889616032
5GB1_FM20_TR3_QC_tpm,-0.5633349807810966
5GB1_FM20_TR3_UW_tpm,-0.521261166274301
5GB1_FM21_TR1_tpm,0.3801232703859813
5GB1_FM21_TR1_QC_tpm,0.2925385798541802
5GB1_FM21_TR2_tpm,0.1442223652659207
5GB1_FM21_TR2_QC_tpm,0.2015796824781475
5GB1_FM21_TR2_UW_tpm,0.4470622916751559
5GB1_FM22_TR1_tpm,3.5887130876253144
5GB1_FM22_TR1_QC_tpm,3.5020001480083023
5GB1_FM22_TR3_tpm,3.4028772230799857
5GB1_FM22_TR3_QC_tpm,3.781134629713578
5GB1_FM22_TR3_UW_tpm,3.834721183631564
5GB1_FM23_TR3_tpm,-3.0347268178404603
5GB1_FM23_TR3_QC_tpm,-3.195440520271273
5GB1_FM34_T0_TR1_QC_tpm,-0.863644066685004
5GB1_FM34_T3_TR3_QC_tpm,-0.8917331426895991
5GB1_FM34_T4_TR3_QC_tpm,-0.679828959778475
5GB1_FM34_T5_TR2_QC_tpm,-0.667116134257868
5GB1_FM34_T6_TR3_QC_tpm,-0.1674709258662643
5GB1_FM34_T7_TR3_QC_tpm,-0.8793943755318256
5GB1_FM34_T8_TR1_QC_tpm,-0.5465402283277072
5GB1_FM40_T0_TR1_QC_tpm,-0.2646306595936369
5GB1_FM40_T0m_TR2_tpm,-0.4666273123840021
5GB1_FM40_T10m_TR3_tpm,-0.7514054202715545
5GB1_FM40_T10m_TR3_QC_tpm,-0.5462021537832893
5GB1_FM40_T150m_TR1_QC_tpm,-0.3905198166560213
5GB1_FM40_T150m_TR1_remake_tpm,-0.2740166341813701
5GB1_FM40_T180m_TR1_tpm,-0.685093895837527
5GB1_FM40_T180m_TR1_QC_tpm,-0.60958748600983
5GB1_FM40_T20m_TR2_tpm,-0.925332446848544
5GB1_FM40_T20m_TR2_QC_tpm,-0.6056344399224463
5GB1_FM40_T40m_TR1_tpm,-0.6345028713660783
5GB1_FM40_T40m_TR1_QC_tpm,-0.578524630948313
5GB1_FM40_T60m_TR1_tpm,-0.5941555262080733
5GB1_FM40_T60m_TR1_QC_tpm,-0.0164408978663281
5GB1_FM40_T90m_TR2_tpm,-0.7422966897227976
5GB1_FM40_T90m_TR2_QC_tpm,-0.5844727162007555
5GB1_FM69_t3_TR1_tpm,-1.3512284000729595
5GB1_FM69_t3_TR1_UW_tpm,-1.492214964110956
5GB1_FM69_t4_TR1_tpm,-1.6221812836832958
5GB1_FM69_t4_TR1_UW_tpm,-2.109302383200463
5GB1_FM80_t2_TR1_tpm,6.092066324844063
5GB1_FM80_t4_TR1_tpm,6.665103374313099
5GB1_FM81_t1_TR3_tpm,7.019111379505488
5GB1_FM81_t2_TR3_tpm,7.226856927261397
5GB1_LTrecycle_TR1_tpm,-1.7256477763642613
5GB1_LTrecycle_TR1_QC_tpm,-1.7132596867585752
5GB1_vial_wLa_TR3_tpm,5.241239549370422
5GB1_vial_woLa_TR2_tpm,5.400229172842969
5GB1_FM_85_TR1_tpm,7.434915654517769
5GB1_FM_85_TR2_tpm,7.140766609534221
5GB1_pA9_red_tpm,-1.1853367351027595
5GB1_pA9_yellow_tpm,-0.994308595856558
5GB1C-5G-La-BR1_tpm,4.225744440743864
5GB1C-5G-La-BR2_tpm,3.90200097708293
5GB1C-5G-N-BR1_tpm,4.27748406479994
5GB1C-5G-N-BR2_tpm,3.232603981648105
5GB1C-JG15-La-BR1_tpm,4.621765026201378
5GB1C-JG15-La-BR2_tpm,4.504997764733761
5GB1C-JG15-N-BR1_tpm,4.787725412881049
5GB1C-JG15-N-BR2_tpm,3.935062494334171
