,-0.19619478527071813,-0.1660109721521461,-0.1358271590335741,-0.10564334591500207,-0.07545953279643006,-0.04527571967785804,-0.015091906559286022,0.015091906559285995,0.04527571967785801,0.07545953279643,0.10564334591500205,0.1358271590335741,0.16601097215214608,0.19619478527071807,0.22637859838929011,0.2565624115078622,0.2867462246264342,0.31693003774500617,0.34711385086357815,0.37729766398215026
thresh,-0.06036762623714405,0.06036762623714405,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,2,3,46,2177,1879,88,11,4,0,1,0,0,1,0,0,0,0
unreg_genes,[nan],[],[],[nan nan],['ltrA' 'nifT' 'nan'],[],[],[],[],['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'ltrA' 'nan' 'nan' 'nan'],[nan nan nan nan],[],[nan],[],[],[nan],[],[],[],[]
