,-0.10116927324152693,-0.08277485992488567,-0.06438044660824442,-0.04598603329160317,-0.027591619974961915,-0.009197206658320661,0.009197206658320592,0.02759161997496183,0.0459860332916031,0.06438044660824437,0.0827748599248856,0.10116927324152684,0.11956368655816811,0.1379580998748094,0.1563525131914506,0.17474692650809187,0.19314133982473314,0.2115357531413744,0.22993016645801567,0.24832457977465688
thresh,-0.07357765326656504,0.07357765326656504,1,,,,,,,,,,,,,,,,,
unreg,1,0,1,15,154,2142,1701,134,34,15,6,1,1,3,2,1,1,0,1,0
unreg_genes,[nan],[],[],[],[],[],[],[],[],[],[nan nan nan nan nan nan],[nan],[nan],['nan' 'pqqA' 'nan'],[nan nan],[nan],[nan],[],[nan],[]
