,-0.08234924507436964,-0.0658793960594957,-0.04940954704462178,-0.032939698029747846,-0.016469849014873916,1.3877787807814457e-17,0.016469849014873944,0.032939698029747874,0.049409547044621804,0.06587939605949572,0.08234924507436966,0.09881909408924361,0.11528894310411752,0.13175879211899144,0.14822864113386539,0.16469849014873933,0.18116833916361325,0.19763818817848716,0.21410803719336108,0.23057788620823505
thresh,-0.0905841695818066,0.0905841695818066,1,,,,,,,,,,,,,,,,,
unreg,5,5,20,73,739,2590,674,74,16,6,0,3,1,0,0,2,2,2,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[nan nan nan],[nan],[],[],[nan nan],[nan nan],['urtB' 'cobS'],[nan],[]
