,-0.11912369775723285,-0.08934277331792463,-0.059561848878616416,-0.0297809244393082,1.3877787807814457e-17,0.02978092443930823,0.059561848878616444,0.08934277331792466,0.11912369775723287,0.1489046221965411,0.1786855466358493,0.20846647107515748,0.23824739551446572,0.26802831995377396,0.29780924439308215,0.32759016883239034,0.3573710932716986,0.3871520177110068,0.41693294215031507,0.4467138665896232
thresh,-0.13401415997688695,0.13401415997688695,1,,,,,,,,,,,,,,,,,
unreg,0,4,4,202,3792,184,17,5,0,0,2,1,0,0,0,0,0,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[nan nan],[nan],[],[],[],[],[],[nan nan],[],[]
