,-0.13302148504878053,-0.10346115503794041,-0.0739008250271003,-0.04434049501626018,-0.014780165005420065,0.014780165005420065,0.04434049501626017,0.07390082502710027,0.1034611550379404,0.13302148504878053,0.16258181505962066,0.19214214507046073,0.22170247508130086,0.251262805092141,0.28082313510298107,0.3103834651138212,0.33994379512466133,0.36950412513550146,0.3990644551463416,0.4286247851571817
thresh,-0.1478016500542006,0.1478016500542006,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,8,2640,1522,12,7,6,3,6,3,3,2,0,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[nan nan nan nan nan nan],[nan nan nan],[nan nan nan],[nan nan],[],[],[nan],[],[],[]
