,-0.07651850404400992,-0.06260604876328085,-0.048693593482551784,-0.034781138201822714,-0.020868682921093645,-0.006956227640364576,0.006956227640364493,0.020868682921093562,0.03478113820182263,0.0486935934825517,0.06260604876328077,0.07651850404400984,0.09043095932473891,0.10434341460546798,0.11825586988619705,0.13216832516692611,0.14608078044765518,0.15999323572838425,0.17390569100911332,0.18781814628984242
thresh,-0.055649821122916304,0.055649821122916304,1,,,,,,,,,,,,,,,,,
unreg,1,1,10,42,342,1954,1471,277,54,13,14,8,9,5,5,5,1,1,0,0
unreg_genes,[nan],[nan],[],[],[],[],[],[],[],[],"['nan' 'ureE' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nirD' 'nan' 'nan'
 'nan' 'nirB']",['nan' 'ureA' 'nan' 'nan' 'nan' 'nifL' 'nan' 'nan'],['nan' 'nan' 'nan' 'urtD' 'nan' 'nan' 'nan' 'ntrC' 'nan'],['nan' 'cynS' 'nan' 'nan' 'nan'],[nan nan nan nan nan],['nan' 'nan' 'glnK' 'nan' 'nan'],[nan],[nan],[],[]
