,EQU24_RS04330
5GB1_FM03_TR1_QC_tpm,-0.6562245611056321
5GB1_FM03_TR2_QC_tpm,-0.5767800456843046
5GB1_FM11_TR1_QC_tpm,-0.2910171910067225
5GB1_FM11_TR2_QC_tpm,-0.4486360141482723
5GB1_FM12_TR1_tpm,-0.8042476956555973
5GB1_FM12_TR1_QC_tpm,-0.8094680223198729
5GB1_FM12_TR2_tpm,-0.8219580180481643
5GB1_FM12_TR2_QC_tpm,-0.8596523377605596
5GB1_FM14_TR1_tpm,-0.4015020570968914
5GB1_FM14_TR1_QC_tpm,-0.4235075224952211
5GB1_FM14_TR2_tpm,-0.8375272772185438
5GB1_FM14_TR2_QC_tpm,-0.7419922592396029
5GB1_FM18_TR1_QC_tpm,-0.8948958368502584
5GB1_FM18_TR2_tpm,-0.6383194252002777
5GB1_FM18_TR2_QC_tpm,-0.5834690907620246
5GB1_FM18_TR3_tpm,-0.8578857735990848
5GB1_FM18_TR3_QC_tpm,-0.8418716683771788
5GB1_FM19_TR1_tpm,-0.8804696056126797
5GB1_FM19_TR1_QC_tpm,-0.4591214684447147
5GB1_FM19_TR1_UW_tpm,-0.4474280214818318
5GB1_FM19_TR3_tpm,-0.1546734474064743
5GB1_FM19_TR3_QC_tpm,0.0434216055173806
5GB1_FM20_TR1_QC_tpm,-0.023715999265562
5GB1_FM20_TR2_QC_tpm,0.1512442474454589
5GB1_FM20_TR3_tpm,0.1804944874272562
5GB1_FM20_TR3_QC_tpm,0.1965910239079997
5GB1_FM20_TR3_UW_tpm,0.2800448676857563
5GB1_FM21_TR1_tpm,0.1147435523962601
5GB1_FM21_TR1_QC_tpm,0.0297047359066695
5GB1_FM21_TR2_tpm,-0.044614432286699
5GB1_FM21_TR2_QC_tpm,0.1251313392229498
5GB1_FM21_TR2_UW_tpm,0.2233807843498523
5GB1_FM22_TR1_tpm,-0.0676004258344322
5GB1_FM22_TR1_QC_tpm,-0.1806891048157437
5GB1_FM22_TR3_tpm,-0.3327288647617985
5GB1_FM22_TR3_QC_tpm,0.0551509583498734
5GB1_FM22_TR3_UW_tpm,-0.0986981918979399
5GB1_FM23_TR3_tpm,-0.745277050688169
5GB1_FM23_TR3_QC_tpm,-0.7065616038852882
5GB1_FM34_T0_TR1_QC_tpm,-0.4740646143860116
5GB1_FM34_T3_TR3_QC_tpm,-0.589884959615361
5GB1_FM34_T4_TR3_QC_tpm,-0.4680629643882561
5GB1_FM34_T5_TR2_QC_tpm,-0.3581334904434436
5GB1_FM34_T6_TR3_QC_tpm,-0.4532557105700752
5GB1_FM34_T7_TR3_QC_tpm,-0.4623391335563278
5GB1_FM34_T8_TR1_QC_tpm,-0.3825960652585429
5GB1_FM40_T0_TR1_QC_tpm,-0.1999918457762053
5GB1_FM40_T0m_TR2_tpm,0.0685061117744227
5GB1_FM40_T10m_TR3_tpm,-0.3354112711184207
5GB1_FM40_T10m_TR3_QC_tpm,-0.2519230079795287
5GB1_FM40_T150m_TR1_QC_tpm,-0.5756089313282748
5GB1_FM40_T150m_TR1_remake_tpm,-0.5119142498511833
5GB1_FM40_T180m_TR1_tpm,-0.5387414875645247
5GB1_FM40_T180m_TR1_QC_tpm,-0.5079873912763659
5GB1_FM40_T20m_TR2_tpm,-0.1207738153702857
5GB1_FM40_T20m_TR2_QC_tpm,-0.4519570251986966
5GB1_FM40_T40m_TR1_tpm,-0.387020911932165
5GB1_FM40_T40m_TR1_QC_tpm,-0.3412253488751737
5GB1_FM40_T60m_TR1_tpm,-0.1133846350958958
5GB1_FM40_T60m_TR1_QC_tpm,-0.2932596719410316
5GB1_FM40_T90m_TR2_tpm,-0.5308304342821248
5GB1_FM40_T90m_TR2_QC_tpm,-0.4755997587684879
5GB1_FM69_t3_TR1_tpm,-0.2099789599065786
5GB1_FM69_t3_TR1_UW_tpm,-0.0576610806706927
5GB1_FM69_t4_TR1_tpm,-0.1217459478239018
5GB1_FM69_t4_TR1_UW_tpm,-0.3083388265325766
5GB1_FM80_t2_TR1_tpm,-0.3690210477161297
5GB1_FM80_t4_TR1_tpm,-0.4198774156338789
5GB1_FM81_t1_TR3_tpm,-0.7444882740120837
5GB1_FM81_t2_TR3_tpm,-0.5465333360400306
5GB1_LTrecycle_TR1_tpm,-1.0007759364479003
5GB1_LTrecycle_TR1_QC_tpm,-0.9584844546687687
5GB1_vial_wLa_TR3_tpm,-0.7617051731526816
5GB1_vial_woLa_TR2_tpm,-0.7829318807951164
5GB1_FM_85_TR1_tpm,-1.6198227919020145
5GB1_FM_85_TR2_tpm,-1.1811505719635642
5GB1_pA9_red_tpm,-0.2643064241289323
5GB1_pA9_yellow_tpm,-0.0529350221368671
5GB1C-5G-La-BR1_tpm,-0.4982910092395416
5GB1C-5G-La-BR2_tpm,-0.3640611582797763
5GB1C-5G-N-BR1_tpm,-0.2893320215586925
5GB1C-5G-N-BR2_tpm,-0.1307423725779228
5GB1C-JG15-La-BR1_tpm,-0.7822455041629715
5GB1C-JG15-La-BR2_tpm,-0.4545880759759848
5GB1C-JG15-N-BR1_tpm,-0.3188032813538104
5GB1C-JG15-N-BR2_tpm,-0.4410459653137879
