,-0.11816484322289414,-0.09668032627327702,-0.0751958093236599,-0.05371129237404279,-0.032226775424425674,-0.010742258474808558,0.010742258474808558,0.032226775424425674,0.05371129237404279,0.0751958093236599,0.09668032627327702,0.11816484322289414,0.13964936017251126,0.16113387712212837,0.1826183940717455,0.2041029110213626,0.22558742797097972,0.24707194492059684,0.268556461870214,0.29004097881983104
thresh,-0.1289071016977027,0.1289071016977027,1,,,,,,,,,,,,,,,,,
unreg,0,0,5,8,56,2252,1804,52,14,7,2,1,1,2,2,0,2,4,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[nan],[nan nan],[nan nan],[],[nan nan],[nan nan nan nan],[nan],[]
