,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,1.3877787807814457e-15,1.8798926574992716,12.0,0.0,-2.450482963844569,1.0,1.9641606902395647,22.0,-4.781408162103488,23.0,0.6411423753047049,24.0,0.5946570499476886,25.0,-0.9113521270784996,26.0,0.6782385070667536,27.0,0.7097503924540318,28.0,0.4068275367060342,29.0,0.7971265073467649,30.0,1.2874431792836571,31.0,1.0638970146773734
1,5G__lowO2_fast_growth,0.880607325506951,0.9172586790767441,12.0,2.0,-0.2023190979234331,3.0,0.4983464164188991,17.0,1.090135187555057,18.0,2.0335048182629367,19.0,1.456862307133511,20.0,1.3561806749490926,21.0,2.24258210967238,32.0,0.5509022710537798,33.0,0.7705989903484831,34.0,1.1007636412148003,35.0,-1.1120842169102458,36.0,0.781814804308149
2,5G__lowCH4,-0.3816591341293918,0.39578794874655104,8.0,4.0,-0.2060282376879435,5.0,-0.993405603581314,6.0,-0.1681232272834813,7.0,-0.2362834103098372,8.0,-0.7157952601020064,9.0,-0.3097948503702749,10.0,-0.6864166228812552,11.0,0.2625741391809788,,,,,,,,
3,5G__MeOH,1.2688568171333028,1.0556430562847532,7.0,12.0,0.7124666996855189,13.0,1.9189670270041144,14.0,0.2289605073790786,15.0,-0.0974705293067401,16.0,1.741703955377598,37.0,1.450412290621509,38.0,2.9269577691720405,,,,,,,,,,
4,5G__NoCu,-1.4676974603507051,1.4858452676062,3.0,39.0,-2.588416375945978,46.0,0.2177077713770221,47.0,-2.032383776483159,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.5483713988845341,1.0183424860439556,7.0,40.0,-1.1171362767276474,50.0,-1.7421205610793256,51.0,-1.3776866058625454,52.0,0.2710390895168618,53.0,1.216248652987544,60.0,-0.5600663774132051,61.0,-0.5288777136134216,,,,,,,,,,
6,5G__highCu,-0.3345690384973396,1.936640818576218,5.0,41.0,0.8086287411952313,42.0,2.0892027630936885,43.0,-3.0375669525441107,44.0,-0.5007368076569716,45.0,-1.0323729365745358,,,,,,,,,,,,,,
7,5G__lowCu,-0.36154658759621094,1.083130935072157,8.0,48.0,-1.622108242000706,49.0,0.3217031859547379,54.0,-0.3517785582541085,55.0,0.3902872033246404,56.0,-1.4652380386091295,57.0,-1.6601996882751118,58.0,0.4109579630615326,59.0,1.0840034740284576,,,,,,,,
8,5G__highO2_slow_growth,-6.816633127913661,10.486069577637585,4.0,62.0,-2.4573891828846084,63.0,-22.32708477671525,64.0,-3.256113742339803,65.0,0.7740551902850156,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-1.965444456762261,0.16737196096258825,4.0,66.0,-1.7861710040090757,67.0,-2.012358436593616,68.0,-2.17469884602312,69.0,-1.8885495404232329,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-2.168176477750152,1.552776719536856,2.0,70.0,-1.0701975296970396,71.0,-3.266155425803265,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-2.694877652018009,1.5441105238264226,5.0,72.0,-5.201711028541352,78.0,-2.040793625193471,79.0,-3.097367840349602,82.0,-1.8122259510408971,83.0,-1.3222898149647229,,,,,,,,,,,,,,
12,5G__NoLanthanum,-2.9597716825960267,2.009642294366468,5.0,73.0,-6.37196403059737,80.0,-2.07937924990491,81.0,-1.7617081058482795,84.0,-1.4527492103451605,85.0,-3.1330578162844143,,,,,,,,,,,,,,
13,5G__aa3_KO,-3.241819273960595,0.9401028767867502,2.0,74.0,-3.906572393149488,75.0,-2.577066154771703,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-1.2295786749031614,0.18601582046741524,2.0,76.0,-1.0980456268426726,77.0,-1.36111172296365,,,,,,,,,,,,,,,,,,,,
