,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,5.979013580533395e-16,0.2301372993250849,12.0,0.0,-0.4739040507808845,1.0,-0.3608263132328888,22.0,-0.0900084441159414,23.0,0.2867990810121998,24.0,0.2198241433428327,25.0,-9.89309092549462e-05,26.0,-0.0400824533512294,27.0,-0.0245938484548435,28.0,-0.0068605651821957,29.0,0.2134927071829082,30.0,0.1777479955718082,31.0,0.0985106789174965
1,5G__lowO2_fast_growth,-0.11741545320265166,0.7282015959181151,12.0,2.0,1.17191592753979,3.0,1.5416193878811946,17.0,-0.738367544458983,18.0,-0.8111508425247482,19.0,-0.738177834374202,20.0,-0.3777315140910104,21.0,-0.2776287071869889,32.0,-0.2081951149559167,33.0,-0.231234531934497,34.0,-0.2575756315357829,35.0,-0.217231787263346,36.0,-0.2652272455273294
2,5G__lowCH4,-0.9339031570982792,0.3099730650229537,8.0,4.0,-1.1831273367245403,5.0,-1.2800354330896226,6.0,-1.1060035092547142,7.0,-1.0763980502632844,8.0,-0.4100731857052642,9.0,-0.5287182855053398,10.0,-0.9119290420911116,11.0,-0.974940414152356,,,,,,,,
3,5G__MeOH,-1.3907024058380901,0.5418219016514653,7.0,12.0,-1.111852357298857,13.0,-0.8280157671592994,14.0,-0.7827704527802117,15.0,-1.437983093289028,16.0,-1.3928755617888076,37.0,-2.1779166688057208,38.0,-2.003502939744708,,,,,,,,,,
4,5G__NoCu,-0.10980581043624497,0.39921181765304875,3.0,39.0,-0.5543183763725441,46.0,0.0067314610089219,47.0,0.2181694840548873,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.46013791549974126,0.13634943952568235,7.0,40.0,-0.4207728690612109,50.0,-0.5524780605926054,51.0,-0.5297152315235918,52.0,-0.2655902230046818,53.0,-0.356376674794439,60.0,-0.6756275558020022,61.0,-0.4204047937196575,,,,,,,,,,
6,5G__highCu,-0.22626979520799537,0.2709395057404515,5.0,41.0,-0.178917119031464,42.0,-0.0397055685260383,43.0,-0.4867742295297175,44.0,-0.5198704475985316,45.0,0.0939183886457746,,,,,,,,,,,,,,
7,5G__lowCu,-0.13559051146647338,0.24980267132118458,8.0,48.0,0.0365993785794938,49.0,0.1242335781936905,54.0,0.0579813136622586,55.0,0.0131619346289086,56.0,-0.1898000177567418,57.0,-0.1792199673803818,58.0,-0.3215468190242179,59.0,-0.6261334926347972,,,,,,,,
8,5G__highO2_slow_growth,-0.12430250179470392,0.2840268679363943,4.0,62.0,0.0136473489300472,63.0,-0.2644343694205897,64.0,0.1956492151878928,65.0,-0.442072201876166,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.08683937855518263,0.25592428694122976,4.0,66.0,0.2855811513572899,67.0,-0.2034893442697969,68.0,-0.2904813949507332,69.0,-0.1389679263574903,,,,,,,,,,,,,,,,
10,5G__LanzaTech,0.5837317362082444,0.04931634118455976,2.0,70.0,0.618603655483156,71.0,0.5488598169333327,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-0.051064688300486175,0.5716350902218515,5.0,72.0,-1.019635804890786,78.0,0.1871434797363163,79.0,-0.1039457786037774,82.0,0.3040775808180784,83.0,0.3770370814377379,,,,,,,,,,,,,,
12,5G__NoLanthanum,-0.21067073721404342,0.3304241597625607,5.0,73.0,-0.7881500049776822,80.0,0.0544728238195428,81.0,-0.1090346226695482,84.0,-0.1196392844523828,85.0,-0.0910025977901467,,,,,,,,,,,,,,
13,5G__aa3_KO,-0.7867669749023403,0.1762705202841421,2.0,74.0,-0.911409055118538,75.0,-0.6621248946861424,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,0.9027190616840564,0.4017964209124103,2.0,76.0,0.6186060878004067,77.0,1.186832035567706,,,,,,,,,,,,,,,,,,,,
