,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,6.337523098901935e-16,0.700864042799755,12.0,0.0,0.3322690213258449,1.0,-0.7362244652009361,22.0,-0.7780472542897048,23.0,-1.541256016723548,24.0,-0.0766140706731739,25.0,0.1887398837964517,26.0,0.4117289827756726,27.0,0.4967302218256818,28.0,1.0011185092996573,29.0,-0.0705972395728157,30.0,0.3270354942565084,31.0,0.4451169331803696
1,5G__lowO2_fast_growth,1.6022148781912235,0.7623377770135122,12.0,2.0,1.01568659648093,3.0,-0.3820868979402102,17.0,2.578814507841356,18.0,2.116447422294747,19.0,2.174448320146847,20.0,1.7443209904926658,21.0,1.9213536701005425,32.0,1.666308747898256,33.0,2.035039517877039,34.0,1.1051220422263048,35.0,1.670089173766362,36.0,1.5810344471098443
2,5G__lowCH4,0.41249524607521504,1.0838646259841362,8.0,4.0,0.9981785097015696,5.0,1.0163275907935865,6.0,1.8407932686848527,7.0,1.6500558470653257,8.0,-0.6470875217573215,9.0,-0.897333811365812,10.0,-0.3596225773481946,11.0,-0.3013493371722857,,,,,,,,
3,5G__MeOH,2.9878060140825604,0.7250746649520069,7.0,12.0,4.197128356824636,13.0,2.6123934139988854,14.0,3.0873584691685445,15.0,3.509671953709581,16.0,3.115164866474226,37.0,2.202802403001837,38.0,2.190122635400213,,,,,,,,,,
4,5G__NoCu,-2.6251107534146936,0.34738501089586094,3.0,39.0,-2.8916995632707194,46.0,-2.751381659419744,47.0,-2.2322510375536164,,,,,,,,,,,,,,,,,,
5,5G__medCu,-1.356512822080811,0.45866774093646634,7.0,40.0,-0.8257050861998839,50.0,-1.9254045439347665,51.0,-1.6192600288119543,52.0,-0.6842452881085183,53.0,-1.4147660968405602,60.0,-1.3088411142497,61.0,-1.717367596420294,,,,,,,,,,
6,5G__highCu,-0.9235626358516148,0.8920859779008469,5.0,41.0,-0.0776085565567231,42.0,-1.2399459571739893,43.0,-1.5337773076849466,44.0,0.1147370741977034,45.0,-1.8812184320401184,,,,,,,,,,,,,,
7,5G__lowCu,-2.4579689411424366,0.6388527404563449,8.0,48.0,-2.193560857635018,49.0,-2.616209054886673,54.0,-1.792269056108035,55.0,-2.270261683288933,56.0,-2.651039679192148,57.0,-1.804441468965261,58.0,-2.531208546505312,59.0,-3.804761182558113,,,,,,,,
8,5G__highO2_slow_growth,-5.916747737729799,0.888734321030398,4.0,62.0,-5.321500894168275,63.0,-6.53122017444142,64.0,-5.002296257143112,65.0,-6.811973625166389,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-3.077301699404684,0.9998816371328725,4.0,66.0,-3.261413580625793,67.0,-1.6353245155118996,68.0,-3.4883101422186766,69.0,-3.9241585592623673,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-3.7566433244207476,0.2504948828928456,2.0,70.0,-3.5795166940746865,71.0,-3.933769954766809,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-9.75310921752246,2.954003168824748,5.0,72.0,-5.257182501246026,78.0,-11.78713659486279,79.0,-10.148063562850709,82.0,-8.754120799866469,83.0,-12.819042628786304,,,,,,,,,,,,,,
12,5G__NoLanthanum,-9.16819222625737,5.165939041502589,5.0,73.0,-6.8257131727065365,80.0,-12.942754046922078,81.0,-5.250937732423969,84.0,-4.555000701317708,85.0,-16.266555477916555,,,,,,,,,,,,,,
13,5G__aa3_KO,-4.677448633132038,1.4515879731166201,2.0,74.0,-5.703876332411636,75.0,-3.65102093385244,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-2.4191732429279593,0.18104737930646456,2.0,76.0,-2.291153413304305,77.0,-2.547193072551613,,,,,,,,,,,,,,,,,,,,
