,-0.08376949827859757,-0.06853868040976165,-0.05330786254092572,-0.03807704467208979,-0.022846226803253863,-0.007615408934417936,0.0076154089344179915,0.02284622680325392,0.038077044672089846,0.053307862540925774,0.0685386804097617,0.08376949827859763,0.09900031614743356,0.11423113401626948,0.1294619518851054,0.14469276975394135,0.15992358762277725,0.1751544054916132,0.1903852233604491,0.205616041229285
thresh,-0.060923271475343696,0.060923271475343696,1,,,,,,,,,,,,,,,,,
unreg,1,1,5,10,97,2607,1366,55,7,4,7,7,11,18,6,9,2,0,0,0
unreg_genes,[nan],[nan],[],[],[],[],[],[],[],[],['nan' 'nan' 'umuD' 'nan' 'nan' 'nan' 'nan'],['nan' 'nan' 'nan' 'nan' 'nan' 'nifT' 'nan'],['nan' 'cas2' 'nan' 'nan' 'nan' 'nan' 'urtE' 'nan' 'nan' 'nan' 'nan'],"['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan' 'nan' 'rsxC' 'nan' 'nan' 'nan']",[nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan],['nan' 'tatB'],[],[],[]
