,EQU24_RS12830
5GB1_FM03_TR1_QC_tpm,-0.0771458018128772
5GB1_FM03_TR2_QC_tpm,-0.6585917049850343
5GB1_FM11_TR1_QC_tpm,-0.1849296860237794
5GB1_FM11_TR2_QC_tpm,0.0001442923616652
5GB1_FM12_TR1_tpm,-0.5121291999311648
5GB1_FM12_TR1_QC_tpm,-0.5501093425954178
5GB1_FM12_TR2_tpm,-0.6659309772439803
5GB1_FM12_TR2_QC_tpm,-0.8992211493891293
5GB1_FM14_TR1_tpm,-0.2075677380071274
5GB1_FM14_TR1_QC_tpm,-0.1435118123806313
5GB1_FM14_TR2_tpm,-0.4245868630326814
5GB1_FM14_TR2_QC_tpm,-0.5029590373802
5GB1_FM18_TR1_QC_tpm,-0.4219917022308221
5GB1_FM18_TR2_tpm,-0.4702683253685116
5GB1_FM18_TR2_QC_tpm,-0.4071726664373454
5GB1_FM18_TR3_tpm,-0.305753445021506
5GB1_FM18_TR3_QC_tpm,-0.4076710343742435
5GB1_FM19_TR1_tpm,-0.0924682237332632
5GB1_FM19_TR1_QC_tpm,0.1820902282237986
5GB1_FM19_TR1_UW_tpm,0.0970882316733403
5GB1_FM19_TR3_tpm,0.1681034770643297
5GB1_FM19_TR3_QC_tpm,0.1031788265169906
5GB1_FM20_TR1_QC_tpm,-0.3704788017731433
5GB1_FM20_TR2_QC_tpm,0.0709364302624928
5GB1_FM20_TR3_tpm,0.2779861731339066
5GB1_FM20_TR3_QC_tpm,0.0885659254274617
5GB1_FM20_TR3_UW_tpm,0.1326877065949396
5GB1_FM21_TR1_tpm,0.0329331207066339
5GB1_FM21_TR1_QC_tpm,0.2092410235167259
5GB1_FM21_TR2_tpm,0.0925574004600564
5GB1_FM21_TR2_QC_tpm,0.0842296089674095
5GB1_FM21_TR2_UW_tpm,0.1170789195014281
5GB1_FM22_TR1_tpm,-0.0459808023226884
5GB1_FM22_TR1_QC_tpm,0.1984170817847861
5GB1_FM22_TR3_tpm,-0.0110426348387981
5GB1_FM22_TR3_QC_tpm,0.1002225094386526
5GB1_FM22_TR3_UW_tpm,0.0777175939548744
5GB1_FM23_TR3_tpm,-0.2447346302423021
5GB1_FM23_TR3_QC_tpm,-0.1524890379862267
5GB1_FM34_T0_TR1_QC_tpm,0.1986444434557457
5GB1_FM34_T3_TR3_QC_tpm,-0.4083950553932158
5GB1_FM34_T4_TR3_QC_tpm,-0.3645289345987841
5GB1_FM34_T5_TR2_QC_tpm,-0.2754868264856425
5GB1_FM34_T6_TR3_QC_tpm,-0.30186988671137
5GB1_FM34_T7_TR3_QC_tpm,-0.0328930645270357
5GB1_FM34_T8_TR1_QC_tpm,-0.1966300409826926
5GB1_FM40_T0_TR1_QC_tpm,0.1714632095405424
5GB1_FM40_T0m_TR2_tpm,0.1596119885305196
5GB1_FM40_T10m_TR3_tpm,-0.0658648077120771
5GB1_FM40_T10m_TR3_QC_tpm,-0.2030319081672713
5GB1_FM40_T150m_TR1_QC_tpm,-0.3485351863995856
5GB1_FM40_T150m_TR1_remake_tpm,-0.2020767432413022
5GB1_FM40_T180m_TR1_tpm,-0.3471563763251462
5GB1_FM40_T180m_TR1_QC_tpm,-0.2302114056707171
5GB1_FM40_T20m_TR2_tpm,0.029071445117065
5GB1_FM40_T20m_TR2_QC_tpm,-0.1169306794965141
5GB1_FM40_T40m_TR1_tpm,-0.2443398031761807
5GB1_FM40_T40m_TR1_QC_tpm,-0.2024573576616042
5GB1_FM40_T60m_TR1_tpm,-0.1790033941409152
5GB1_FM40_T60m_TR1_QC_tpm,-0.083803659416568
5GB1_FM40_T90m_TR2_tpm,-0.3512125063058837
5GB1_FM40_T90m_TR2_QC_tpm,-0.3824579374429602
5GB1_FM69_t3_TR1_tpm,0.4300339060790721
5GB1_FM69_t3_TR1_UW_tpm,0.3506945471568228
5GB1_FM69_t4_TR1_tpm,0.4560538511751462
5GB1_FM69_t4_TR1_UW_tpm,0.4178493977234012
5GB1_FM80_t2_TR1_tpm,0.114441840882189
5GB1_FM80_t4_TR1_tpm,0.0952815843352787
5GB1_FM81_t1_TR3_tpm,-0.1725678161199351
5GB1_FM81_t2_TR3_tpm,-0.0686894318367556
5GB1_LTrecycle_TR1_tpm,-0.4870073604168077
5GB1_LTrecycle_TR1_QC_tpm,-0.4841771251124847
5GB1_vial_wLa_TR3_tpm,0.0688628952247052
5GB1_vial_woLa_TR2_tpm,0.4702516872164528
5GB1_FM_85_TR1_tpm,-0.3280623193541849
5GB1_FM_85_TR2_tpm,-0.2227616064987883
5GB1_pA9_red_tpm,0.1427949827136236
5GB1_pA9_yellow_tpm,0.1692300547413694
5GB1C-5G-La-BR1_tpm,0.4823958397192287
5GB1C-5G-La-BR2_tpm,0.4455244229390089
5GB1C-5G-N-BR1_tpm,0.5934077124698138
5GB1C-5G-N-BR2_tpm,0.5230193599440236
5GB1C-JG15-La-BR1_tpm,0.4503867018554226
5GB1C-JG15-La-BR2_tpm,0.6703403170585922
5GB1C-JG15-N-BR1_tpm,0.5263236295692959
5GB1C-JG15-N-BR2_tpm,0.62754139573532
