,-0.4277528294145295,-0.3564606911787746,-0.2851685529430197,-0.21387641470726476,-0.14258427647150984,-0.07129213823575492,0.0,0.07129213823575492,0.14258427647150984,0.21387641470726482,0.2851685529430197,0.35646069117877455,0.4277528294145295,0.4990449676502845,0.5703371058860394,0.6416292441217942,0.7129213823575492,0.7842135205933042,0.8555056588290592,0.9267977970648139
thresh,-0.46339889853240696,0.46339889853240696,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,14,4178,19,0,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[nan],[],[]
