,EQU24_RS18995
5GB1_FM03_TR1_QC_tpm,-0.4314502179795134
5GB1_FM03_TR2_QC_tpm,-0.4911043024117694
5GB1_FM11_TR1_QC_tpm,-0.7021189156543004
5GB1_FM11_TR2_QC_tpm,-0.5560016188368158
5GB1_FM12_TR1_tpm,-1.563990635775304
5GB1_FM12_TR1_QC_tpm,-1.6518353011403493
5GB1_FM12_TR2_tpm,-1.673205824899461
5GB1_FM12_TR2_QC_tpm,-1.7472800617238955
5GB1_FM14_TR1_tpm,-0.8075631782470589
5GB1_FM14_TR1_QC_tpm,-0.6798825451002379
5GB1_FM14_TR2_tpm,-1.0459636783284862
5GB1_FM14_TR2_QC_tpm,-0.9647136166444144
5GB1_FM18_TR1_QC_tpm,-1.5890322345356696
5GB1_FM18_TR2_tpm,-1.59198359757972
5GB1_FM18_TR2_QC_tpm,-1.604984976820437
5GB1_FM18_TR3_tpm,-1.680888275244949
5GB1_FM18_TR3_QC_tpm,-1.7895688905881846
5GB1_FM19_TR1_tpm,-0.6905456670526071
5GB1_FM19_TR1_QC_tpm,-0.7216664390697813
5GB1_FM19_TR1_UW_tpm,-0.5551999324574473
5GB1_FM19_TR3_tpm,-0.5897851169814396
5GB1_FM19_TR3_QC_tpm,-0.7608368453233387
5GB1_FM20_TR1_QC_tpm,0.5768503944528334
5GB1_FM20_TR2_QC_tpm,-0.3382850437230011
5GB1_FM20_TR3_tpm,0.3760127735356038
5GB1_FM20_TR3_QC_tpm,0.1887272166092977
5GB1_FM20_TR3_UW_tpm,0.1786877318924391
5GB1_FM21_TR1_tpm,-0.0695651050763013
5GB1_FM21_TR1_QC_tpm,-0.0908771135599222
5GB1_FM21_TR2_tpm,0.1058251481330652
5GB1_FM21_TR2_QC_tpm,-0.0321847355976077
5GB1_FM21_TR2_UW_tpm,0.0273632537248831
5GB1_FM22_TR1_tpm,-0.6239578395981589
5GB1_FM22_TR1_QC_tpm,-0.7001378520298926
5GB1_FM22_TR3_tpm,-0.3798681504053185
5GB1_FM22_TR3_QC_tpm,-0.5397133367970612
5GB1_FM22_TR3_UW_tpm,-0.5591401396755105
5GB1_FM23_TR3_tpm,-1.4648027545571427
5GB1_FM23_TR3_QC_tpm,-1.452598155628701
5GB1_FM34_T0_TR1_QC_tpm,-0.3235125096917013
5GB1_FM34_T3_TR3_QC_tpm,-0.3094903097204247
5GB1_FM34_T4_TR3_QC_tpm,-0.2341975556512565
5GB1_FM34_T5_TR2_QC_tpm,-0.3602270014150832
5GB1_FM34_T6_TR3_QC_tpm,0.0648170787021831
5GB1_FM34_T7_TR3_QC_tpm,-0.3253609971701303
5GB1_FM34_T8_TR1_QC_tpm,0.0740316378606484
5GB1_FM40_T0_TR1_QC_tpm,-0.3753510347123363
5GB1_FM40_T0m_TR2_tpm,-0.6043248976763644
5GB1_FM40_T10m_TR3_tpm,-0.8178366158518431
5GB1_FM40_T10m_TR3_QC_tpm,-0.7855358241593242
5GB1_FM40_T150m_TR1_QC_tpm,-0.6014268907108695
5GB1_FM40_T150m_TR1_remake_tpm,-0.4241621518949428
5GB1_FM40_T180m_TR1_tpm,-0.5364382535361845
5GB1_FM40_T180m_TR1_QC_tpm,-0.5525413688884067
5GB1_FM40_T20m_TR2_tpm,-0.7216770775642374
5GB1_FM40_T20m_TR2_QC_tpm,-0.4912665902940407
5GB1_FM40_T40m_TR1_tpm,-0.7571247334368847
5GB1_FM40_T40m_TR1_QC_tpm,-0.5982683394300867
5GB1_FM40_T60m_TR1_tpm,-0.5866043309155424
5GB1_FM40_T60m_TR1_QC_tpm,0.0156868724732976
5GB1_FM40_T90m_TR2_tpm,-0.5418947428310483
5GB1_FM40_T90m_TR2_QC_tpm,-0.7402466159149581
5GB1_FM69_t3_TR1_tpm,-0.3809397907139127
5GB1_FM69_t3_TR1_UW_tpm,-0.7944241210960996
5GB1_FM69_t4_TR1_tpm,-0.2506158074298223
5GB1_FM69_t4_TR1_UW_tpm,-0.6304469555010002
5GB1_FM80_t2_TR1_tpm,-0.6151286220297774
5GB1_FM80_t4_TR1_tpm,-0.6096212155972331
5GB1_FM81_t1_TR3_tpm,-0.767507025514111
5GB1_FM81_t2_TR3_tpm,-0.7955286808411435
5GB1_LTrecycle_TR1_tpm,-0.9640326205115608
5GB1_LTrecycle_TR1_QC_tpm,-0.914684551674263
5GB1_vial_wLa_TR3_tpm,-1.3051448762193525
5GB1_vial_woLa_TR2_tpm,-1.115270635421303
5GB1_FM_85_TR1_tpm,-1.160614127521809
5GB1_FM_85_TR2_tpm,-0.8307172026473104
5GB1_pA9_red_tpm,-0.4387728857813862
5GB1_pA9_yellow_tpm,-0.245206848475032
5GB1C-5G-La-BR1_tpm,-0.4758185684251756
5GB1C-5G-La-BR2_tpm,-0.3610827273954653
5GB1C-5G-N-BR1_tpm,-0.2456712120200785
5GB1C-5G-N-BR2_tpm,-0.3103054314954949
5GB1C-JG15-La-BR1_tpm,-0.4025272254024274
5GB1C-JG15-La-BR2_tpm,-0.3491539832758654
5GB1C-JG15-N-BR1_tpm,-0.5676082784745837
5GB1C-JG15-N-BR2_tpm,-0.0535780453359526
