,-0.10431799128413201,-0.0834543930273056,-0.0625907947704792,-0.041727196513652795,-0.02086359825682639,1.3877787807814457e-17,0.02086359825682642,0.04172719651365282,0.06259079477047923,0.08345439302730563,0.10431799128413204,0.12518158954095843,0.14604518779778486,0.16690878605461124,0.18777238431143767,0.2086359825682641,0.22949958082509048,0.25036317908191685,0.2712267773387433,0.2920903755955697
thresh,-0.0938861921557188,0.0938861921557188,1,,,,,,,,,,,,,,,,,
unreg,1,3,6,31,461,3290,352,34,13,7,3,1,4,3,2,0,0,0,2,0
unreg_genes,[nan],[],[],[],[],[],[],[],[],[],['nan' 'hrcA' 'nan'],['clpB'],['dapB' 'grpE' 'moeB' 'dnaJ'],['dnaK' 'groL' 'nan'],['nan' 'htpG'],[],[],[],['groL' 'nan'],[]
