,-0.12926846044263457,-0.1077237170355288,-0.08617897362842303,-0.06463423022131726,-0.043089486814211486,-0.021544743407105715,5.551115123125783e-17,0.021544743407105826,0.0430894868142116,0.06463423022131737,0.08617897362842314,0.10772371703552891,0.12926846044263468,0.15081320384974045,0.17235794725684622,0.193902690663952,0.21544743407105776,0.23699217747816353,0.2585369208852693,0.2800816642923751
thresh,-0.09695134533197594,0.09695134533197594,1,,,,,,,,,,,,,,,,,
unreg,1,1,1,4,21,281,3609,236,31,8,2,2,1,5,2,4,2,1,1,0
unreg_genes,[nan],[nan],[],[],[],[],[],[],[],[],[],[nan nan],[nan],[nan nan nan nan nan],[nan nan],[nan nan nan nan],[nan nan],[nan],[nan],[]
