,-0.3870676787697019,-0.3225563989747516,-0.2580451191798013,-0.19353383938485097,-0.12902255958990066,-0.06451127979495036,-5.551115123125783e-17,0.06451127979495025,0.12902255958990055,0.19353383938485086,0.25804511917980116,0.32255639897475147,0.3870676787697018,0.4515789585646521,0.5160902383596024,0.5806015181545527,0.645112797949503,0.7096240777444534,0.7741353575394037,0.838646637334354
thresh,-0.41932331866717704,0.41932331866717704,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,26,4141,42,3,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[nan],[],[]
