,EQU24_RS12925
5GB1_FM03_TR1_QC_tpm,-0.1605487949155666
5GB1_FM03_TR2_QC_tpm,-0.0153639063798332
5GB1_FM11_TR1_QC_tpm,-0.1660007256727507
5GB1_FM11_TR2_QC_tpm,-0.0307505226350146
5GB1_FM12_TR1_tpm,-0.1184538306850244
5GB1_FM12_TR1_QC_tpm,-0.154212057542332
5GB1_FM12_TR2_tpm,-0.0009166033049963
5GB1_FM12_TR2_QC_tpm,-0.1130107106743825
5GB1_FM14_TR1_tpm,-0.0323312652855767
5GB1_FM14_TR1_QC_tpm,-0.0503707436628122
5GB1_FM14_TR2_tpm,-0.291687087706169
5GB1_FM14_TR2_QC_tpm,-0.2814405484974491
5GB1_FM18_TR1_QC_tpm,-1.7457122691146931
5GB1_FM18_TR2_tpm,-1.4976717823773456
5GB1_FM18_TR2_QC_tpm,-1.4690644811639464
5GB1_FM18_TR3_tpm,-1.3395538035660106
5GB1_FM18_TR3_QC_tpm,-1.3663646604634874
5GB1_FM19_TR1_tpm,-0.9453869730411988
5GB1_FM19_TR1_QC_tpm,-0.2211887482392462
5GB1_FM19_TR1_UW_tpm,-0.2490357797387092
5GB1_FM19_TR3_tpm,-0.3594420061521433
5GB1_FM19_TR3_QC_tpm,-0.3826447461827005
5GB1_FM20_TR1_QC_tpm,0.1612133617848501
5GB1_FM20_TR2_QC_tpm,0.3658893803792269
5GB1_FM20_TR3_tpm,-0.2088067678603424
5GB1_FM20_TR3_QC_tpm,0.1645832746051221
5GB1_FM20_TR3_UW_tpm,0.2516084130627121
5GB1_FM21_TR1_tpm,-0.1313946911254833
5GB1_FM21_TR1_QC_tpm,-0.117056570776862
5GB1_FM21_TR2_tpm,-0.356340881610123
5GB1_FM21_TR2_QC_tpm,0.0422266844006369
5GB1_FM21_TR2_UW_tpm,0.0039904984356731
5GB1_FM22_TR1_tpm,-0.0367859063381219
5GB1_FM22_TR1_QC_tpm,-0.0708396322830431
5GB1_FM22_TR3_tpm,-0.6098004589423294
5GB1_FM22_TR3_QC_tpm,-0.0118179274087966
5GB1_FM22_TR3_UW_tpm,-0.0321336591854848
5GB1_FM23_TR3_tpm,-1.7134416705760165
5GB1_FM23_TR3_QC_tpm,-1.6368655854213738
5GB1_FM34_T0_TR1_QC_tpm,0.2890159590108458
5GB1_FM34_T3_TR3_QC_tpm,-0.2261458503994378
5GB1_FM34_T4_TR3_QC_tpm,0.1139846234039279
5GB1_FM34_T5_TR2_QC_tpm,0.2388294880526063
5GB1_FM34_T6_TR3_QC_tpm,0.1314629566067342
5GB1_FM34_T7_TR3_QC_tpm,0.1249757780424847
5GB1_FM34_T8_TR1_QC_tpm,0.4085493616970375
5GB1_FM40_T0_TR1_QC_tpm,0.1477474399938714
5GB1_FM40_T0m_TR2_tpm,0.3653386631367707
5GB1_FM40_T10m_TR3_tpm,0.0620816609812671
5GB1_FM40_T10m_TR3_QC_tpm,0.1581536784278121
5GB1_FM40_T150m_TR1_QC_tpm,0.33968685847704
5GB1_FM40_T150m_TR1_remake_tpm,0.3008941009659622
5GB1_FM40_T180m_TR1_tpm,-0.3166877297094963
5GB1_FM40_T180m_TR1_QC_tpm,-0.3703107318380816
5GB1_FM40_T20m_TR2_tpm,0.1737998050703826
5GB1_FM40_T20m_TR2_QC_tpm,-0.1062098368889605
5GB1_FM40_T40m_TR1_tpm,-0.0374607578855128
5GB1_FM40_T40m_TR1_QC_tpm,0.0065944075493984
5GB1_FM40_T60m_TR1_tpm,0.3743432752370692
5GB1_FM40_T60m_TR1_QC_tpm,0.0260794501231087
5GB1_FM40_T90m_TR2_tpm,-0.2187869898742862
5GB1_FM40_T90m_TR2_QC_tpm,-0.1118154724380833
5GB1_FM69_t3_TR1_tpm,0.703975454254337
5GB1_FM69_t3_TR1_UW_tpm,0.9367341482433824
5GB1_FM69_t4_TR1_tpm,0.3971634147373892
5GB1_FM69_t4_TR1_UW_tpm,0.648513794290829
5GB1_FM80_t2_TR1_tpm,0.2658092036551291
5GB1_FM80_t4_TR1_tpm,0.1026569372858361
5GB1_FM81_t1_TR3_tpm,0.1061153675564501
5GB1_FM81_t2_TR3_tpm,0.240545308300633
5GB1_LTrecycle_TR1_tpm,-0.348582944802609
5GB1_LTrecycle_TR1_QC_tpm,-0.2871950673012282
5GB1_vial_wLa_TR3_tpm,-0.3379002462737333
5GB1_vial_woLa_TR2_tpm,-0.0360004573830208
5GB1_FM_85_TR1_tpm,0.3169893357676274
5GB1_FM_85_TR2_tpm,0.1095763103684444
5GB1_pA9_red_tpm,0.4595189858973771
5GB1_pA9_yellow_tpm,0.3233877384304291
5GB1C-5G-La-BR1_tpm,0.5848701189180616
5GB1C-5G-La-BR2_tpm,0.8428471696888993
5GB1C-5G-N-BR1_tpm,0.7447670844097853
5GB1C-5G-N-BR2_tpm,0.791723316039282
5GB1C-JG15-La-BR1_tpm,0.5975247537703376
5GB1C-JG15-La-BR2_tpm,0.5925941695948893
5GB1C-JG15-N-BR1_tpm,0.5952047568730281
5GB1C-JG15-N-BR2_tpm,1.038932667336394
