,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,-7.979727989493313e-16,0.19996847280649638,12.0,0.0,0.0629942740052342,1.0,0.1915822243471998,22.0,-0.2461481967962218,23.0,0.2787387415498292,24.0,-0.0150030055623755,25.0,0.225945698875023,26.0,0.2541020635774043,27.0,-0.1537343329061915,28.0,-0.0278067655085134,29.0,-0.2707698897553667,30.0,-0.1843494792619928,31.0,-0.1155513325640384
1,5G__lowO2_fast_growth,-0.4396312083805837,0.334256333831157,12.0,2.0,-0.2991776306723608,3.0,-0.1262962140418597,17.0,-1.201987628689249,18.0,-0.7046078881027462,19.0,-0.7207623186731409,20.0,-0.5752446808972271,21.0,-0.4979079788259879,32.0,-0.1802739015701799,33.0,-0.1644570661621127,34.0,-0.5601841971349639,35.0,-0.1232719710127625,36.0,-0.1214030247844135
2,5G__lowCH4,-0.6053233076438319,0.08788372345067794,8.0,4.0,-0.6791988055227751,5.0,-0.7127708333526348,6.0,-0.5878553512549383,7.0,-0.5629669318319994,8.0,-0.4762477650170389,9.0,-0.4996524540811764,10.0,-0.6429242321132929,11.0,-0.6809700879767995,,,,,,,,
3,5G__MeOH,-1.2175966500496018,0.276617359091429,7.0,12.0,-1.373555612563119,13.0,-0.9797474085259744,14.0,-1.070252114322133,15.0,-0.9886499040478034,16.0,-0.9828941545597952,37.0,-1.4971392139225426,38.0,-1.6309381424058458,,,,,,,,,,
4,5G__NoCu,-0.15988649191236376,0.16528494953680145,3.0,39.0,-0.3373971203842441,46.0,-0.0104138232543018,47.0,-0.1318485320985454,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.1252282238419488,0.1287210865008028,7.0,40.0,-0.2530474447636957,50.0,0.0347486752499968,51.0,0.0638372443256258,52.0,-0.2488756733064816,53.0,-0.1146039797311777,60.0,-0.1948751552855467,61.0,-0.1637812333823625,,,,,,,,,,
6,5G__highCu,-0.2183895125355722,0.21893275082746488,5.0,41.0,-0.4312287099434977,42.0,0.0584420479119858,43.0,-0.3428707804556916,44.0,-0.3501094402173521,45.0,-0.0261806799733053,,,,,,,,,,,,,,
7,5G__lowCu,-0.2550648178819983,0.11632394594256576,8.0,48.0,-0.0994420578863071,49.0,-0.1419786976168842,54.0,-0.2443356130675162,55.0,-0.3797494981747666,56.0,-0.1982194415170077,57.0,-0.2673458991481707,58.0,-0.2577583933104677,59.0,-0.451688942334866,,,,,,,,
8,5G__highO2_slow_growth,-0.22597713466138877,0.1291921113361893,4.0,62.0,-0.1159471645461982,63.0,-0.1702261843936385,64.0,-0.4116182282662173,65.0,-0.2061169614395011,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.8044402699116411,0.18761303800905607,4.0,66.0,-0.5538749448962843,67.0,-0.7673511146742333,68.0,-0.9425745954970096,69.0,-0.9539604245790372,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-0.3466525194777041,0.05061256590433724,2.0,70.0,-0.3108640309134962,71.0,-0.382441008041912,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-0.8123236192873176,0.38218904103866785,5.0,72.0,-1.476332140533283,78.0,-0.7565548326614566,79.0,-0.6633186899980146,82.0,-0.5033160209264409,83.0,-0.6620964123173927,,,,,,,,,,,,,,
12,5G__NoLanthanum,-0.6115950508322292,0.19590625684303684,5.0,73.0,-0.9295623649347072,80.0,-0.6070212773788972,81.0,-0.4433335539529262,84.0,-0.6213373737350141,85.0,-0.4567206841596016,,,,,,,,,,,,,,
13,5G__aa3_KO,-0.7704503109321275,0.02184368511261706,2.0,74.0,-0.7858961288013626,75.0,-0.7550044930628923,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,0.12868929980282126,0.06495741868973041,2.0,76.0,0.0827574685589391,77.0,0.1746211310467034,,,,,,,,,,,,,,,,,,,,
