,-0.1587095011039094,-0.13225791758659117,-0.10580633406927292,-0.07935475055195468,-0.052903167034636434,-0.02645158351731819,5.551115123125783e-17,0.0264515835173183,0.052903167034636545,0.07935475055195479,0.10580633406927303,0.13225791758659128,0.15870950110390952,0.18516108462122777,0.211612668138546,0.23806425165586426,0.2645158351731825,0.29096741869050075,0.317419002207819,0.34387058572513723
thresh,-0.17193529286256853,0.17193529286256853,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,7,202,3796,176,18,3,1,1,0,0,1,3,2,3,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[nan],['nan' 'mmoG' 'mmoC'],['mmoD' 'mmoZ'],['mmoY' 'mmoB' 'mmoX'],[],[]
