,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,-5.111218161675997e-15,0.27495490427969427,12.0,0.0,-0.4212197964037195,1.0,0.4299639538569225,22.0,0.2846544860548363,23.0,0.4444081687705152,24.0,-0.1379131073428103,25.0,-0.199441869390692,26.0,0.1679302057635357,27.0,-0.156172913066567,28.0,-0.1569027164677347,29.0,-0.0287966675602028,30.0,-0.232191027304408,31.0,0.0056812830902632
1,5G__lowO2_fast_growth,-1.270282609485864,0.28149747496821437,12.0,2.0,-1.2678425431252236,3.0,-1.100127199477045,17.0,-1.272564116109666,18.0,-0.85731416217084,19.0,-1.150425640791933,20.0,-1.2986989383623055,21.0,-1.392868667040787,32.0,-0.9201623326432486,33.0,-1.2910690913477807,34.0,-1.8992627272713736,35.0,-1.6103428017687873,36.0,-1.1827130937213757
2,5G__lowCH4,-0.3256759293233221,0.2973446479445758,8.0,4.0,-0.2841945397012719,5.0,-0.2158908566388117,6.0,-0.1061143578961876,7.0,0.2263654418465242,8.0,-0.7148834603533959,9.0,-0.5154694382303014,10.0,-0.4449810030219909,11.0,-0.5502392205911417,,,,,,,,
3,5G__MeOH,-1.4019147774569625,0.4927782768921619,7.0,12.0,-1.477072473878119,13.0,-1.225545933749705,14.0,-1.3939040354327756,15.0,-0.7560202009313997,16.0,-0.9584198448581932,37.0,-2.210936426540372,38.0,-1.7915045268081724,,,,,,,,,,
4,5G__NoCu,30.111851067034035,1.5393215525477035,3.0,39.0,31.88911813597544,46.0,29.20080846341285,47.0,29.245626601713813,,,,,,,,,,,,,,,,,,
5,5G__medCu,13.135770403129627,8.734796351626992,7.0,40.0,4.679222302406672,50.0,24.42695544774187,51.0,24.4320957817344,52.0,5.110445020788848,53.0,5.088022258650027,60.0,14.342384513043772,61.0,13.871267497541789,,,,,,,,,,
6,5G__highCu,2.0795382951833936,0.3436866952982336,5.0,41.0,2.317686897980292,42.0,2.293337741239966,43.0,2.3106056876786183,44.0,1.5338125151742352,45.0,1.9422486338438565,,,,,,,,,,,,,,
7,5G__lowCu,27.172787285776508,3.9468979710552317,8.0,48.0,30.56178133049967,49.0,30.46704323318608,54.0,30.35694420453339,55.0,30.19416901164254,56.0,26.519370880389,57.0,26.45096042239679,58.0,21.09030846991441,59.0,21.7417207336502,,,,,,,,
8,5G__highO2_slow_growth,2.8719184126258837,0.5034991844993802,4.0,62.0,2.471027409267852,63.0,2.9862485326551087,64.0,2.4928528274420763,65.0,3.5375448811384977,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,0.7924779652437954,0.6344991530888189,4.0,66.0,0.8332876872862437,67.0,0.1207440161352519,68.0,1.635122639121772,69.0,0.5807575184319144,,,,,,,,,,,,,,,,
10,5G__LanzaTech,2.0279726382508194,0.18960022574825364,2.0,70.0,2.16204024359191,71.0,1.8939050329097291,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,2.187030459555902,0.7795330735580123,5.0,72.0,1.632324221101907,78.0,2.251765487218506,79.0,1.2400634511437694,82.0,3.213440617389324,83.0,2.5975585209260017,,,,,,,,,,,,,,
12,5G__NoLanthanum,0.9671851494149971,0.7937094535847792,5.0,73.0,-0.1208219340383,80.0,1.4135118375014193,81.0,0.4051433389004462,84.0,1.788781649440651,85.0,1.349310855270769,,,,,,,,,,,,,,
13,5G__aa3_KO,1.415098631227047,0.02175752394267174,2.0,74.0,1.399713738505355,75.0,1.4304835239487388,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,0.279017990233175,0.5508626390453226,2.0,76.0,-0.1105007173380901,77.0,0.66853669780444,,,,,,,,,,,,,,,,,,,,
