,-0.11065363909233839,-0.09053479562100414,-0.07041595214966989,-0.050297108678335645,-0.030178265207001398,-0.010059421735667151,0.010059421735667096,0.030178265207001342,0.05029710867833559,0.07041595214966984,0.09053479562100408,0.11065363909233833,0.13077248256367258,0.15089132603500682,0.17101016950634107,0.19112901297767532,0.21124785644900956,0.2313666999203438,0.25148554339167806,0.2716043868630123
thresh,-0.0402376869426685,0.0402376869426685,1,,,,,,,,,,,,,,,,,
unreg,2,2,13,27,163,1938,1846,181,22,13,2,1,1,1,1,0,0,0,0,0
unreg_genes,[nan nan],['nan' 'cobA'],"['cobM' 'cobI' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'cobJ' 'nan']","['nan' 'nan' 'hflK' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'bluB' 'nan' 'nan'
 'nan' 'nan' 'ctaD' 'nan' 'nan' 'nan' 'nan' 'nan' 'ybeY' 'hflC' 'nan'
 'nan' 'nan' 'nan' 'nan']",[],[],[],[],"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]","['tatB' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan']",[nan nan],[nan],[nan],[nan],[nan],[],[],[],[],[]
