,-0.08415309860759475,-0.05049185916455685,-0.016830619721518947,0.01683061972151896,0.050491859164556854,0.08415309860759475,0.11781433805063267,0.15147557749367058,0.18513681693670847,0.21879805637974636,0.25245929582278426,0.28612053526582215,0.3197817747088601,0.353443014151898,0.3871042535949359,0.4207654930379738,0.4544267324810117,0.48808797192404957,0.5217492113670874,0.5554104508101253
thresh,-0.1009837183291137,0.1009837183291137,1,,,,,,,,,,,,,,,,,
unreg,1,22,2264,1866,42,6,5,2,2,1,1,0,0,0,0,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],[nan nan nan nan nan],[nan nan],[nan nan],[nan],[nan],[],[],[],[],[nan],[],[],[],[]
