,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,8.095376221225099e-17,0.1872659472102576,12.0,0.0,-0.1290867862690987,1.0,-0.3754191375443989,22.0,0.1359045093480899,23.0,0.1594066306720378,24.0,-0.095766743703332,25.0,0.213010245335985,26.0,0.2626640259796557,27.0,-0.0417386193944535,28.0,-0.1211404766535739,29.0,-0.1736464441866116,30.0,0.0684795665677224,31.0,0.0973332298479787
1,5G__lowO2_fast_growth,-0.44890857160092296,0.2586352300654425,12.0,2.0,-0.3737018677209764,3.0,-0.130659142867672,17.0,-1.0734138249195606,18.0,-0.5577967820347123,19.0,-0.5665546696648827,20.0,-0.4934051701641007,21.0,-0.4791804723327564,32.0,-0.2370956741315382,33.0,-0.2748813453118677,34.0,-0.6921107793048336,35.0,-0.25845981324077,36.0,-0.2496433175174051
2,5G__lowCH4,-0.4484374613665163,0.09493698762485678,8.0,4.0,-0.4738429627366187,5.0,-0.4751912620520402,6.0,-0.3911985461411875,7.0,-0.3818770601819663,8.0,-0.336374800619029,9.0,-0.3687879415717168,10.0,-0.595015913430867,11.0,-0.5652112041987047,,,,,,,,
3,5G__MeOH,-1.503239136349729,0.35945840072307567,7.0,12.0,-1.5590878570155242,13.0,-1.2039054382510157,14.0,-1.246282870080944,15.0,-1.2442440311503766,16.0,-1.2685014808655914,37.0,-2.0088284615495144,38.0,-1.9918238155351364,,,,,,,,,,
4,5G__NoCu,-0.0406465898639947,0.1749228451637256,3.0,39.0,-0.0959717499827865,46.0,-0.1812170230735326,47.0,0.155249003464335,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.30027479213514613,0.13652052314275614,7.0,40.0,-0.3380778143078791,50.0,-0.0983570752985638,51.0,-0.1079289161533241,52.0,-0.3832046669880604,53.0,-0.3728710506774089,60.0,-0.4128961383696587,61.0,-0.3885878831511276,,,,,,,,,,
6,5G__highCu,-0.014971070150311036,0.14198479313147355,5.0,41.0,-0.2023143358125443,42.0,0.1307143323059039,43.0,-0.0283157739691368,44.0,-0.0938330038110653,45.0,0.1188934305352873,,,,,,,,,,,,,,
7,5G__lowCu,-0.13389221298392262,0.15785685034726438,8.0,48.0,0.0451209878002893,49.0,0.0328135343653341,54.0,-0.025202165078336,55.0,-0.3068861598521666,56.0,-0.2666258474698315,57.0,-0.1651991510601727,58.0,-0.0386836975867099,59.0,-0.3464752049897877,,,,,,,,
8,5G__highO2_slow_growth,0.5087948881736484,0.03721069389193685,4.0,62.0,0.523965064502991,63.0,0.4548651690506613,64.0,0.5166810246705689,65.0,0.5396682944703723,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.146006352279453,0.19372015675752224,4.0,66.0,0.1288366948370374,67.0,-0.2200202986495805,68.0,-0.3219178189592728,69.0,-0.1709239863459961,,,,,,,,,,,,,,,,
10,5G__LanzaTech,0.41827932438546744,0.13761199776560573,2.0,70.0,0.3209729475927796,71.0,0.5155857011781553,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,0.2806952258356693,0.29824956427002564,5.0,72.0,-0.1560719307420148,78.0,0.3659872990355639,79.0,0.6641453254792493,82.0,0.1932033689396428,83.0,0.3362120664659054,,,,,,,,,,,,,,
12,5G__NoLanthanum,0.4557574154090892,0.32321864781210347,5.0,73.0,-0.0567244738383623,80.0,0.6101704467092341,81.0,0.6025217859407324,84.0,0.3522021873652479,85.0,0.7706171308685938,,,,,,,,,,,,,,
13,5G__aa3_KO,-0.2447739894803442,0.15947569841794812,2.0,74.0,-0.1320076416945523,75.0,-0.3575403372661361,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,0.2794810427484897,0.03786144043291438,2.0,76.0,0.2527089614728854,77.0,0.306253124024094,,,,,,,,,,,,,,,,,,,,
