,0
0,0.03779708590976105
1,0.06036762623714405
2,0.057477737483245445
3,0.4238689211244915
4,0.20864549874228594
5,0.060923271475343696
6,0.09695134533197594
7,0.16386353197538767
8,0.23797026698792323
9,0.0938861921557188
10,0.0402376869426685
11,0.0778706351052783
12,0.4492365057226135
13,0.1242796000089442
14,0.055649821122916304
15,0.0382390221509405
16,0.04247742150401135
17,0.04259514224148235
18,0.0426812600198313
19,0.03559654240918455
20,0.0905841695818066
21,0.1478016500542006
22,0.1136453511736131
23,0.0278484604054345
24,0.1009837183291137
25,0.10171505248616185
26,0.1796881607582092
27,0.17193529286256853
28,0.1289071016977027
29,0.029698931261214298
30,0.07848177745865281
31,0.07610696986846921
32,0.07459756799247405
33,0.02895199197461505
34,0.41932331866717704
35,0.1208773986942657
36,0.08214762501379635
37,0.46339889853240696
38,0.20462517131634606
39,0.02814976545320455
40,0.4115464997785073
41,0.02686004732472245
42,0.0768204130123053
43,0.0385867081157771
44,0.3831117132016758
45,0.07357765326656504
46,0.11266192124156685
47,0.3173331840361982
48,0.13401415997688695
49,0.053066678070425505
50,0.4249868456784894
51,0.03329857227828255
52,0.04535690526848135
