,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,2.740863092043355e-16,0.3597299117027929,12.0,0.0,-0.7519610079125163,1.0,-0.5341453633621036,22.0,-0.1536186122378215,23.0,0.5250875888780357,24.0,0.174285191819834,25.0,0.3408510906749691,26.0,0.3306517017308987,27.0,-0.0353291001889326,28.0,-0.0320822002828893,29.0,-0.0149823586735831,30.0,0.0334020872507978,31.0,0.1178409823033144
1,5G__lowO2_fast_growth,-0.5165941048992156,0.2151961504725724,12.0,2.0,-0.3612827800926155,3.0,-0.524754640890218,17.0,-0.9697758254875488,18.0,-0.7651363385614327,19.0,-0.5932723310947026,20.0,-0.462622775845523,21.0,-0.1273546329215271,32.0,-0.4544118155153009,33.0,-0.4396325453951002,34.0,-0.6674514416393798,35.0,-0.4680482316496634,36.0,-0.3653858996975763
2,5G__lowCH4,-0.4068256339132664,0.2759845274399978,8.0,4.0,-0.576096494556551,5.0,-0.8005074130378396,6.0,-0.630760398206688,7.0,-0.5561713246205411,8.0,-0.0014426182357412,9.0,-0.193459397315383,10.0,-0.3398028458737476,11.0,-0.1563645794596397,,,,,,,,
3,5G__MeOH,-0.9577046407526705,0.39460367633059856,7.0,12.0,-0.7725965669207275,13.0,-0.5100826328082926,14.0,-0.5244284952366152,15.0,-0.9945605392860846,16.0,-1.016669272439704,37.0,-1.3078005253849996,38.0,-1.5777944531922703,,,,,,,,,,
4,5G__NoCu,0.09401503354791678,0.18030371475662246,3.0,39.0,0.2856706082097946,46.0,0.0686183123796202,47.0,-0.0722438199456645,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.650896410978918,0.43934751168527336,7.0,40.0,-1.5409789020602478,50.0,-0.4570471333016126,51.0,-0.3120356355114437,52.0,-0.92403316803166,53.0,-0.3770352794718472,60.0,-0.4848987658097314,61.0,-0.4602459926658842,,,,,,,,,,
6,5G__highCu,-0.15510733212820577,0.26857766477542855,5.0,41.0,0.181500047600315,42.0,0.0535262687197555,43.0,-0.3663493063740497,44.0,-0.4472117927816161,45.0,-0.1970018778054334,,,,,,,,,,,,,,
7,5G__lowCu,-0.2805257617482157,0.26256684359752375,8.0,48.0,-0.1317324630290159,49.0,-0.1163279807868882,54.0,-0.0940125643839833,55.0,-0.6782670940338422,56.0,-0.2358802575704039,57.0,-0.446606010468515,58.0,0.0539132607177679,59.0,-0.595292984430845,,,,,,,,
8,5G__highO2_slow_growth,0.43582165201308765,0.23167018007637705,4.0,62.0,0.4215555499820342,63.0,0.5903175841181403,64.0,0.6178064193285278,65.0,0.1136070546236482,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.1869498772871031,0.18711372680249447,4.0,66.0,0.0398362609416351,67.0,-0.1133236655524823,68.0,-0.3762589851601028,69.0,-0.2980531193774625,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-0.3553831042937296,0.19397368104508292,2.0,70.0,-0.218222999055035,71.0,-0.4925432095324242,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,0.2868996057234029,0.5226248056718058,5.0,72.0,-0.6200704660180545,78.0,0.3359201186684415,79.0,0.461650915436314,82.0,0.585889551276888,83.0,0.6711079092534256,,,,,,,,,,,,,,
12,5G__NoLanthanum,0.43759448900538905,0.22424409289816127,5.0,73.0,0.1721907564864464,80.0,0.5859077525309346,81.0,0.2167708123938267,84.0,0.5688049965728728,85.0,0.6442981270428647,,,,,,,,,,,,,,
13,5G__aa3_KO,-0.5323144867456601,0.3176880835812097,2.0,74.0,-0.307675088543228,75.0,-0.7569538849480921,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,0.4207851396238942,0.171027616162298,2.0,76.0,0.5417199267824251,77.0,0.2998503524653633,,,,,,,,,,,,,,,,,,,,
