,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,-3.6313544763781163e-16,0.13376988460123784,12.0,0.0,-0.2045098908748723,1.0,-0.2233716989477319,22.0,0.1382915245860339,23.0,0.1307494930463484,24.0,0.1228738492759715,25.0,0.0986862344466974,26.0,0.1543528541866239,27.0,-0.0533665026048932,28.0,-0.0838538110935163,29.0,-0.0667310347120508,30.0,-0.0604988954980285,31.0,0.0473778781894136
1,5G__lowO2_fast_growth,-0.3856258448880788,0.1566553982409543,12.0,2.0,-0.5503492375103223,3.0,-0.1681576863610256,17.0,-0.683176015748213,18.0,-0.3481036805986095,19.0,-0.4178984474587004,20.0,-0.225048406697641,21.0,-0.2305889776163088,32.0,-0.3637187584172254,33.0,-0.5475701671303117,34.0,-0.4938566911585038,35.0,-0.326621748838571,36.0,-0.2724203211215128
2,5G__lowCH4,-0.7826431104222549,0.24547984616632634,8.0,4.0,-0.9473690727832826,5.0,-0.9536712048541912,6.0,-0.9079629247515708,7.0,-0.979512281706998,8.0,-0.471046548060456,9.0,-0.327218325905501,10.0,-0.8533302595806571,11.0,-0.8210342657353822,,,,,,,,
3,5G__MeOH,-1.082909789464403,0.11793268978394707,7.0,12.0,-1.086345187332168,13.0,-0.92892817067614,14.0,-0.9287717079830156,15.0,-1.101160871438199,16.0,-1.1062556921709472,37.0,-1.2299844710342085,38.0,-1.1989224256161437,,,,,,,,,,
4,5G__NoCu,-0.26251001400303053,0.04909120421663137,3.0,39.0,-0.3168797282718687,46.0,-0.2214364218944435,47.0,-0.2492138918427793,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.5665432461315109,0.11659301704253579,7.0,40.0,-0.5582142460782187,50.0,-0.3867409244942568,51.0,-0.438939896832335,52.0,-0.6668422236854123,53.0,-0.7080466640147955,60.0,-0.6092815162211824,61.0,-0.5977372515943751,,,,,,,,,,
6,5G__highCu,-0.3642481195183921,0.1263860014439385,5.0,41.0,-0.4657774634737945,42.0,-0.2984514152267765,43.0,-0.3594960359308397,44.0,-0.5048888629629973,45.0,-0.1926268199975522,,,,,,,,,,,,,,
7,5G__lowCu,-0.3831839374530579,0.09353221369450568,8.0,48.0,-0.2269563361374658,49.0,-0.3447561358684465,54.0,-0.4184909306711324,55.0,-0.4391259368770148,56.0,-0.5515142835687934,57.0,-0.3689287789016253,58.0,-0.3818921891234135,59.0,-0.3338069084765713,,,,,,,,
8,5G__highO2_slow_growth,0.4731806068654507,0.10366389580335134,4.0,62.0,0.5914357369868792,63.0,0.4585325219915361,64.0,0.5009778310234125,65.0,0.3417763374599749,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.07763285419628338,0.09516484873279456,4.0,66.0,-0.056152399119643,67.0,0.0271095345389449,68.0,-0.2030763072129078,69.0,-0.0784122449915276,,,,,,,,,,,,,,,,
10,5G__LanzaTech,0.21797260163323795,0.010777463165256842,2.0,70.0,0.2103517843450966,71.0,0.2255934189213793,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,0.45055498358242546,0.208602298565237,5.0,72.0,0.1001695971683078,78.0,0.419390606801592,79.0,0.5877337540941356,82.0,0.5440879725076604,83.0,0.6013929873404313,,,,,,,,,,,,,,
12,5G__NoLanthanum,0.5297715868418006,0.16996487027598609,5.0,73.0,0.3063223022423917,80.0,0.517238770968012,81.0,0.4332192506023586,84.0,0.7166984859413787,85.0,0.6753791244548619,,,,,,,,,,,,,,
13,5G__aa3_KO,-0.6549615169925982,0.016828614128649822,2.0,74.0,-0.6430618898242582,75.0,-0.6668611441609382,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,0.18032392226289665,0.02149711877232473,2.0,76.0,0.1955246807227801,77.0,0.1651231638030132,,,,,,,,,,,,,,,,,,,,
