,-0.23359460898567194,-0.1976569768340301,-0.16171934468238827,-0.12578171253074644,-0.0898440803791046,-0.05390644822746277,-0.01796881607582093,0.01796881607582093,0.05390644822746274,0.08984408037910455,0.1257817125307464,0.16171934468238827,0.19765697683403008,0.2335946089856719,0.2695322411373138,0.3054698732889556,0.3414075054405974,0.3773451375922392,0.413282769743881,0.4492204018955229
thresh,-0.1796881607582092,0.1796881607582092,1,,,,,,,,,,,,,,,,,
unreg,2,0,0,1,3,18,2195,1957,27,6,1,0,0,1,0,0,1,1,0,0
unreg_genes,[nan nan],[],[],[],[],[],[],[],[],[],[],[],[],[nan],[],[],[nan],[nan],[],[]
