,-0.10878965882483912,-0.08461417908598598,-0.060438699347132835,-0.03626321960827969,-0.012087739869426545,0.0120877398694266,0.036263219608279745,0.06043869934713289,0.08461417908598604,0.10878965882483918,0.13296513856369233,0.15714061830254547,0.18131609804139862,0.20549157778025176,0.2296670575191049,0.253842537257958,0.27801801699681117,0.3021934967356643,0.32636897647451746,0.3505444562133706
thresh,-0.1208773986942657,0.1208773986942657,1,,,,,,,,,,,,,,,,,
unreg,0,5,4,49,2341,1730,58,11,2,3,1,2,1,1,1,1,1,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[nan],[nan nan],[nan],[nan],[nan],[nan],[nan],[nan nan],[],[]
