,-0.1648984347150166,-0.1395294447588602,-0.11416045480270379,-0.08879146484654737,-0.06342247489039096,-0.03805348493423455,-0.012684494978078137,0.012684494978078276,0.03805348493423469,0.0634224748903911,0.08879146484654751,0.1141604548027039,0.13952944475886034,0.16489843471501678,0.19026742467117316,0.21563641462732955,0.241005404583486,0.2663743945396424,0.29174338449579884,0.31711237445195517
thresh,-0.07610696986846921,0.07610696986846921,1,,,,,,,,,,,,,,,,,
unreg,1,1,4,4,10,63,2083,1936,75,21,2,5,4,1,1,1,1,0,0,0
unreg_genes,[nan],[nan],[nan nan nan nan],[nan nan nan nan],[],[],[],[],[],[],['nan' 'ltrA'],[nan nan nan nan nan],[nan nan nan nan],[nan],[nan],[nan],[nan],[],[],[]
