,-0.38411006645994017,-0.32923719982280586,-0.27436433318567155,-0.21949146654853724,-0.16461859991140293,-0.10974573327426862,-0.05487286663713431,0.0,0.05487286663713431,0.10974573327426862,0.16461859991140293,0.21949146654853724,0.27436433318567155,0.32923719982280586,0.38411006645994017,0.4389829330970745,0.4938557997342088,0.5487286663713431,0.6036015330084774,0.6584743996456117
thresh,-0.4115464997785073,0.4115464997785073,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,5,37,4117,48,3,0,1,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[nan],[]
