,-0.32772706395077533,-0.2913129457340225,-0.25489882751726967,-0.21848470930051683,-0.182070591083764,-0.14565647286701117,-0.10924235465025833,-0.0728282364335055,-0.03641411821675267,1.6653345369377348e-16,0.036414118216753,0.07282823643350583,0.10924235465025867,0.1456564728670115,0.18207059108376433,0.21848470930051722,0.25489882751727,0.2913129457340228,0.32772706395077567,0.36414118216752855
thresh,-0.16386353197538767,0.16386353197538767,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,0,0,1,10,203,3826,160,5,2,1,1,0,2,0,1,0
unreg_genes,[nan],[],[],[],[],[],[],[],[],[],[],[],[],[],[nan],[],[nan nan],[],[nan],[]
