,-0.21124110232793783,-0.18307562201754612,-0.15491014170715442,-0.12674466139676271,-0.09857918108637101,-0.0704137007759793,-0.0422482204655876,-0.014082740155195894,0.014082740155195811,0.04224822046558749,0.07041370077597922,0.09857918108637095,0.12674466139676263,0.1549101417071543,0.18307562201754604,0.21124110232793777,0.23940658263832945,0.26757206294872116,0.29573754325911283,0.3239030235695046
thresh,-0.11266192124156685,0.11266192124156685,1,,,,,,,,,,,,,,,,,
unreg,1,1,0,0,2,7,42,2061,2025,59,5,3,3,0,0,0,1,3,0,0
unreg_genes,[nan],[nan],[],[],[],[],[],[],[],[],[],[],['umuD' 'nan' 'nan'],[],[],[],[nan],[nan nan nan],[],[]
