,-0.212266712281702,-0.17688892690141833,-0.14151114152113467,-0.10613335614085101,-0.07075557076056735,-0.03537778538028369,-2.7755575615628914e-17,0.03537778538028363,0.0707555707605673,0.10613335614085098,0.14151114152113461,0.17688892690141825,0.21226671228170194,0.24764449766198562,0.2830222830422693,0.31840006842255286,0.35377785380283655,0.38915563918312024,0.4245334245634039,0.4599112099436875
thresh,-0.053066678070425505,0.053066678070425505,1,,,,,,,,,,,,,,,,,
unreg,1,1,0,6,12,244,3708,222,15,3,0,0,0,1,0,0,0,0,0,0
unreg_genes,[nan],[nan],[],[nan nan nan nan nan nan],['nan' 'nan' 'nan' 'nan' 'cobC' 'nan' 'mmoR' 'nan' 'nan' 'nan' 'nan' 'nan'],[],[],[],"['urtA' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'pmoB' 'nan' 'nan'
 'ctaD' 'urtB' 'pmoA' 'nan']",[nan nan nan],[],[],[],[nan],[],[],[],[],[],[]
