,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,2.0816681711721685e-15,0.7689951733324912,12.0,0.0,0.0557935870970767,1.0,2.023584089691089,22.0,0.4295496873639652,23.0,-0.2197950062578542,24.0,-0.6442504605049085,25.0,-0.0166394368129031,26.0,-1.0287369653442748,27.0,0.1996141871968754,28.0,-0.3434611316252763,29.0,-0.2599507115324171,30.0,-0.5752894004804673,31.0,0.3795815612091202
1,5G__lowO2_fast_growth,0.38115385183036404,0.9558164212286876,12.0,2.0,-1.6933879305992714,3.0,0.7917473233912323,17.0,0.2658940288755023,18.0,-0.4547112981053353,19.0,-0.2650098768563905,20.0,0.4673301469057165,21.0,0.7384057389407018,32.0,0.8363414612506528,33.0,-0.1492162204665085,34.0,0.733185316328155,35.0,2.137397999453829,36.0,1.1658695328460849
2,5G__lowCH4,-1.0467520480671015,0.9891346767836554,8.0,4.0,-1.5410807127431592,5.0,-1.6090136807953257,6.0,-1.1416279463922163,7.0,-2.354743095045927,8.0,0.3312715284318243,9.0,0.247363522138114,10.0,-0.4559308985008572,11.0,-1.8502551016292652,,,,,,,,
3,5G__MeOH,-0.814300627424158,0.4523041488605762,7.0,12.0,-1.360977151664042,13.0,-0.86352718971106,14.0,-1.0527030237350194,15.0,-1.1730695673496765,16.0,-0.7660909975937638,37.0,-0.4455383829074752,38.0,-0.0381980790080688,,,,,,,,,,
4,5G__NoCu,-4.823493810220278,1.9998541714643077,3.0,39.0,-7.073147214467203,46.0,-3.2473231398272056,47.0,-4.150011076366424,,,,,,,,,,,,,,,,,,
5,5G__medCu,-1.3294525395570058,1.3198187650541078,7.0,40.0,0.7774646817736883,50.0,-2.287384687941368,51.0,-2.8368399290559747,52.0,-0.0344400362640898,53.0,-1.425252181182609,60.0,-2.3755024291520246,61.0,-1.124213195076664,,,,,,,,,,
6,5G__highCu,1.6838876518867352,1.1304133786930501,5.0,41.0,1.934146808157635,42.0,1.504654025284332,43.0,-0.1489795115810591,44.0,2.7940880781040347,45.0,2.335528859468734,,,,,,,,,,,,,,
7,5G__lowCu,-0.7135181670312567,2.912031177325357,8.0,48.0,-2.645588869328797,49.0,-4.056161621768389,54.0,-2.853983070398332,55.0,-3.305991305774058,56.0,2.8295162864358314,57.0,3.058659612443232,58.0,-0.5385741501226698,59.0,1.803977782263128,,,,,,,,
8,5G__highO2_slow_growth,-3.383074722489229,1.2306802553553464,4.0,62.0,-2.061663286545125,63.0,-3.0722395137246576,64.0,-3.3718950749070493,65.0,-5.026501014780084,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.9608404304864898,0.26679499310379173,4.0,66.0,-0.7037518422350464,67.0,-0.7829529057826364,68.0,-1.2812801308570918,69.0,-1.0753768430711843,,,,,,,,,,,,,,,,
10,5G__LanzaTech,2.037778558862738,0.5867329729391558,2.0,70.0,2.452661422773758,71.0,1.622895694951718,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-0.7887786189360795,0.7042624168318579,5.0,72.0,-1.3966587835788324,78.0,-0.1167306394894824,79.0,0.0666767738638812,82.0,-1.3123007978050518,83.0,-1.1848796476709116,,,,,,,,,,,,,,
12,5G__NoLanthanum,-0.6369781269134032,1.0420136919502552,5.0,73.0,-2.181601546918106,80.0,-0.8424167817407978,81.0,0.6900809821493279,84.0,-0.6051318037816206,85.0,-0.2458214842758195,,,,,,,,,,,,,,
13,5G__aa3_KO,-3.4244760150359945,0.010954420984309526,2.0,74.0,-3.432221960397972,75.0,-3.416730069674017,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-1.3438102818881372,0.2771518030579513,2.0,76.0,-1.1478343625277814,77.0,-1.539786201248493,,,,,,,,,,,,,,,,,,,,
