,-0.10228081605625179,-0.07955174582152917,-0.05682267558680655,-0.03409360535208393,-0.01136453511736131,0.01136453511736131,0.03409360535208393,0.05682267558680655,0.07955174582152917,0.10228081605625179,0.12500988629097443,0.14773895652569707,0.17046802676041967,0.19319709699514226,0.2159261672298649,0.23865523746458756,0.26138430769931015,0.28411337793403274,0.3068424481687554,0.32957151840347804
thresh,-0.1136453511736131,0.1136453511736131,1,,,,,,,,,,,,,,,,,
unreg,1,1,8,67,2165,1873,67,16,2,1,3,1,2,1,1,1,2,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[nan nan nan],[nan],[nan nan],[nan],[nan],[nan],[nan nan],[nan],[],[]
