,-0.14470015543416412,-0.12540680137627558,-0.10611344731838704,-0.0868200932604985,-0.06752673920260996,-0.04823338514472142,-0.02894003108683288,-0.00964667702894434,0.0096466770289442,0.02894003108683274,0.04823338514472128,0.06752673920260982,0.08682009326049836,0.10611344731838693,0.12540680137627544,0.14470015543416395,0.16399350949205252,0.1832868635499411,0.2025802176078296,0.2218735716657181
thresh,-0.0385867081157771,0.0385867081157771,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,1,7,25,181,2024,1723,193,37,10,3,4,2,2,0,0,0,0
unreg_genes,[nan],[],[],[nan],[nan nan nan nan nan nan nan],"['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'lexA' 'nan' 'nan'
 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan']",[],[],[],[],"['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'cysT' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan']",['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'lexA' 'nan' 'nan'],['nan' 'fae' 'nan'],[nan nan nan nan],[nan nan],[nan nan],[],[],[],[]
