,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,-2.821816854255606e-16,0.2698971193241565,12.0,0.0,-0.042211343235988,1.0,-0.1900076451814172,22.0,-0.1497387052622931,23.0,-0.279357699561209,24.0,-0.2597523598942768,25.0,0.1407614847712954,26.0,0.3650541921989418,27.0,0.1906067191614697,28.0,0.2851188868616523,29.0,-0.4845627865163315,30.0,0.2074835371215631,31.0,0.2166057195365898
1,5G__lowO2_fast_growth,-0.3541573424404901,0.20419718648599064,12.0,2.0,-0.5660624635032754,3.0,-0.2650004098209937,17.0,-0.7901303293060682,18.0,-0.2344612277038171,19.0,-0.247239482081321,20.0,-0.1907353332290133,21.0,-0.23033279652934,32.0,-0.3419539084103942,33.0,-0.4436614010218092,34.0,-0.6061252128887293,35.0,-0.2232369690091591,36.0,-0.1109485757819603
2,5G__lowCH4,-0.7828939716641188,0.18973811049638126,8.0,4.0,-0.9271619546236902,5.0,-0.943507493891258,6.0,-0.8570602586297058,7.0,-0.9034526203158002,8.0,-0.500382329381746,9.0,-0.474930678533191,10.0,-0.8856698012164612,11.0,-0.7709866367210978,,,,,,,,
3,5G__MeOH,-0.8212312593024788,0.06215904262225307,7.0,12.0,-0.9030313157356672,13.0,-0.7837335472403284,14.0,-0.7322854822456488,15.0,-0.8956361928776202,16.0,-0.8263658204217394,37.0,-0.8261715639845901,38.0,-0.7813948926117567,,,,,,,,,,
4,5G__NoCu,-0.5472753249901207,0.2115411620601987,3.0,39.0,-0.5255476627548186,46.0,-0.3474365344674117,47.0,-0.7688417777481318,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.36556554569540317,0.09184312342347917,7.0,40.0,-0.3944281412496773,50.0,-0.3154585977168214,51.0,-0.2012411238548352,52.0,-0.4611426003256147,53.0,-0.4695151770495016,60.0,-0.3692349176331513,61.0,-0.3479382620382205,,,,,,,,,,
6,5G__highCu,-0.25970228497075143,0.11543547697925317,5.0,41.0,-0.235771982153631,42.0,-0.2354681679430346,43.0,-0.3811518396956526,44.0,-0.354790685265355,45.0,-0.0913287497960837,,,,,,,,,,,,,,
7,5G__lowCu,-0.6528187278032719,0.2177468001136648,8.0,48.0,-0.5143109708547575,49.0,-0.4011452505911324,54.0,-0.8726483484776333,55.0,-0.7144142159047799,56.0,-0.4927856630525378,57.0,-0.4318677089496399,58.0,-0.9357677495263356,59.0,-0.8596099150693588,,,,,,,,
8,5G__highO2_slow_growth,-0.1522178467275792,0.18132519202084857,4.0,62.0,0.0235098259446084,63.0,-0.01509040688995,64.0,-0.3112110776716896,65.0,-0.3060797282932856,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.7244440362028881,0.08785825121709163,4.0,66.0,-0.6112423153487692,67.0,-0.7343157530959656,68.0,-0.8256397946016758,69.0,-0.7265782817651418,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-0.8671638029599142,0.11042634262452077,2.0,70.0,-0.945247018651342,71.0,-0.7890805872684865,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-0.34840083606948885,0.21378389280678953,5.0,72.0,-0.6965344095724468,78.0,-0.3456743083984728,79.0,-0.1743579731382505,82.0,-0.3539219041409005,83.0,-0.1715155850973735,,,,,,,,,,,,,,
12,5G__NoLanthanum,-0.21211772121408337,0.2036043882429057,5.0,73.0,-0.57180480770797,80.0,-0.0697786120996841,81.0,-0.1506590358027812,84.0,-0.1454836849720298,85.0,-0.1228624654879517,,,,,,,,,,,,,,
13,5G__aa3_KO,-1.0751436027636023,0.0997082643338856,2.0,74.0,-1.1456479926144336,75.0,-1.004639212912771,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-0.2533752273492062,0.05575618666926917,2.0,76.0,-0.2928008050361494,77.0,-0.213949649662263,,,,,,,,,,,,,,,,,,,,
