,0
gene_id,EQU24_RS20545
name,<i>Not Available</i>
operon,222
gene_product,iron chelate uptake ABC transporter family permease subunit
cog,Inorganic ion transport and metabolism
regulator,<i>Not Available</i>
link,"<a href=""https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20545"">BioCyc</a>"
