,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,-4.568105153405592e-16,0.18300088014092072,12.0,0.0,-0.1938964689165523,1.0,-0.2437635486859513,22.0,-0.0267169450247317,23.0,0.1312966190762354,24.0,0.0008362057583699,25.0,0.3586518546370412,26.0,0.2453218244505839,27.0,-0.1023439258410361,28.0,-0.1640821768812399,29.0,-0.1346309587176275,30.0,0.0835482704656307,31.0,0.0457792496792723
1,5G__lowO2_fast_growth,-0.3475260604655377,0.22513303250893452,12.0,2.0,-0.7474125939819984,3.0,-0.2680382182473364,17.0,-0.7783024106033904,18.0,-0.332135570562567,19.0,-0.2912148700266028,20.0,-0.1776522567262963,21.0,-0.3633183648289098,32.0,-0.1810857158998819,33.0,-0.2743245902044764,34.0,-0.5266760933725116,35.0,-0.1140907164381781,36.0,-0.1160613246943027
2,5G__lowCH4,-0.6561177780516186,0.18233064341806612,8.0,4.0,-0.7992502475796295,5.0,-0.8916186688415237,6.0,-0.6341109614914453,7.0,-0.6297403965679109,8.0,-0.4257256289162168,9.0,-0.3658458219026981,10.0,-0.7589518119898093,11.0,-0.7436986871237155,,,,,,,,
3,5G__MeOH,-1.168549141145297,0.15960107653982888,7.0,12.0,-1.2348407111980224,13.0,-0.9343428837475952,14.0,-0.9772545548671934,15.0,-1.3478285345457015,16.0,-1.3025884030947656,37.0,-1.2455021382888187,38.0,-1.1374867622749818,,,,,,,,,,
4,5G__NoCu,-0.23967643220779541,0.25649687992821796,3.0,39.0,-0.2709305069536327,46.0,-0.479114164102894,47.0,0.0310153744331405,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.36004490606980977,0.17132375837500993,7.0,40.0,-0.5502435464529531,50.0,-0.1848778019474126,51.0,-0.1009913256334007,52.0,-0.4690463760150472,53.0,-0.5295887159508474,60.0,-0.3213259401302464,61.0,-0.3642406363587609,,,,,,,,,,
6,5G__highCu,-0.18584925278900374,0.20907390994458694,5.0,41.0,-0.2139733963879919,42.0,-0.055492373145781,43.0,0.0128998635661199,44.0,-0.5264289303204723,45.0,-0.1462514276568933,,,,,,,,,,,,,,
7,5G__lowCu,-0.4041618387933321,0.22326019261875446,8.0,48.0,-0.3042861577625713,49.0,-0.2477482771311434,54.0,-0.1861144104259668,55.0,-0.7509780941163546,56.0,-0.5121460665376407,57.0,-0.4652394192963873,58.0,-0.1280528008986703,59.0,-0.6387294841779223,,,,,,,,
8,5G__highO2_slow_growth,0.14446463546253918,0.1764093908593565,4.0,62.0,0.2990613313709813,63.0,0.2365411850082388,64.0,0.1447377720116254,65.0,-0.1024817465406888,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.4132176349549974,0.13752391559794216,4.0,66.0,-0.2434437681207875,67.0,-0.3670715500758597,68.0,-0.5563567402829213,69.0,-0.4859984813404212,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-1.0194096878549446,0.008287227614472368,2.0,70.0,-1.0135497330115149,71.0,-1.0252696426983745,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-0.053470268241073184,0.31599103816552976,5.0,72.0,-0.5892152750899724,78.0,-0.0790612992496511,79.0,0.1927112844912866,82.0,0.0771143834940613,83.0,0.1310995651489097,,,,,,,,,,,,,,
12,5G__NoLanthanum,0.008765778351317245,0.4704522828382933,5.0,73.0,-0.81424266967531,80.0,0.2480729808815418,81.0,0.0498212121682986,84.0,0.2503164497057124,85.0,0.3098609186763434,,,,,,,,,,,,,,
13,5G__aa3_KO,-0.6241989271121997,0.09428968445252787,2.0,74.0,-0.5575260518398775,75.0,-0.690871802384522,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-0.10119844528024209,0.09200250535843532,2.0,76.0,-0.0361428498551408,77.0,-0.1662540407053434,,,,,,,,,,,,,,,,,,,,
