,-0.0849548430080227,-0.06796387440641816,-0.05097290580481362,-0.03398193720320908,-0.01699096860160454,0.0,0.01699096860160454,0.03398193720320908,0.05097290580481362,0.06796387440641816,0.0849548430080227,0.10194581160962723,0.11893678021123177,0.1359277488128363,0.15291871741444085,0.1699096860160454,0.18690065461764993,0.20389162321925447,0.220882591820859,0.23787356042246355
thresh,-0.04247742150401135,0.04247742150401135,1,,,,,,,,,,,,,,,,,
unreg,7,5,13,67,862,2438,654,115,25,10,11,4,1,0,1,0,0,0,0,0
unreg_genes,[nan nan nan nan nan nan nan],['nan' 'nan' 'mmoR' 'nan' 'nan'],[nan nan nan nan nan nan nan nan nan nan nan nan nan],[],[],[],[],[],"['nan' 'nan' 'nan' 'pqqA' 'nan' 'nan' 'flgC' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan' 'nan' 'acpP' 'nan' 'nan' 'ureA' 'hxlA' 'nan' 'nan' 'nan' 'nan'
 'nan' 'aqpZ']",['nan' 'nan' 'nan' 'nan' 'nan' 'pmoC' 'nan' 'nan' 'nan' 'nan'],['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'pmoB'],['pmoA' 'nan' 'nan' 'nan'],[nan],[],[nan],[],[],[],[],[]
