,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,-1.2536268319725725e-15,0.21423895841645021,12.0,0.0,-0.3414041073555243,1.0,-0.4807713367275203,22.0,-0.0291257054222739,23.0,0.2101836284049554,24.0,0.1078675652977052,25.0,0.1132944985575328,26.0,0.2174736022005197,27.0,-0.0188765260361583,28.0,-0.0163151407359185,29.0,-0.0389062470129202,30.0,0.1362740520165601,31.0,0.1403057168130272
1,5G__lowO2_fast_growth,-0.24312092289527576,0.22962091668192794,12.0,2.0,-0.6626931031735213,3.0,-0.6252274671219622,17.0,-0.4434460402725699,18.0,-0.0637489154481061,19.0,-0.0855633315464947,20.0,-0.0078846620773775,21.0,-0.11376226070099,32.0,-0.0994470815677379,33.0,-0.0774164858602466,34.0,-0.4072078520724096,35.0,-0.1944428564949047,36.0,-0.1366110184069882
2,5G__lowCH4,-1.035571913877607,0.16639456750831808,8.0,4.0,-1.0129054476071708,5.0,-1.0598441336732227,6.0,-0.9451099956319666,7.0,-0.9356779419253448,8.0,-0.8957968318894816,9.0,-0.8701318323070772,10.0,-1.335642406248831,11.0,-1.2294667217377615,,,,,,,,
3,5G__MeOH,-2.155379449159542,0.24190260051336554,7.0,12.0,-2.177364860012493,13.0,-1.8177327522532751,14.0,-1.877959868274144,15.0,-2.151317007097126,16.0,-2.1966682781651503,37.0,-2.391818362917572,38.0,-2.4747950153970315,,,,,,,,,,
4,5G__NoCu,-0.8653706435551785,0.28049968833883265,3.0,39.0,-1.0871000026263342,46.0,-0.958973916649354,47.0,-0.5500380113898471,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.5944920796147937,0.07695165050754718,7.0,40.0,-0.6350116745269281,50.0,-0.665934801783667,51.0,-0.706080569942527,52.0,-0.5462573018341246,53.0,-0.4896693398163041,60.0,-0.5755609989982124,61.0,-0.5429298704017924,,,,,,,,,,
6,5G__highCu,-0.5155041911684988,0.13031704107312633,5.0,41.0,-0.5870533598145817,42.0,-0.3113627696624297,43.0,-0.6419527404819512,44.0,-0.5692170001683277,45.0,-0.4679350857152036,,,,,,,,,,,,,,
7,5G__lowCu,-0.8377833000227758,0.1950139331540812,8.0,48.0,-0.9001620760856008,49.0,-0.8602974854051499,54.0,-0.728865229602575,55.0,-1.1080690543406169,56.0,-0.9402195514384272,57.0,-0.9194491693494964,58.0,-0.4393958191851155,59.0,-0.8058080147752245,,,,,,,,
8,5G__highO2_slow_growth,-1.1831833636893092,0.3048603716730205,4.0,62.0,-0.8797905988109669,63.0,-1.382730005440938,64.0,-0.9690599086519648,65.0,-1.5011529418533671,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-1.045557383991762,0.28045797379995735,4.0,66.0,-0.6480807332460232,67.0,-1.0620778766210162,68.0,-1.2867583052206353,69.0,-1.1853126208793734,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-0.2857152436758898,0.0011913622841246143,2.0,70.0,-0.2848728233259354,71.0,-0.2865576640258442,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-1.4072354026295213,0.5291910298297313,5.0,72.0,-2.339861488179743,78.0,-1.2206730370540306,79.0,-1.0408572969164744,82.0,-1.2854446098944248,83.0,-1.1493405811029342,,,,,,,,,,,,,,
12,5G__NoLanthanum,-1.0951966036152356,0.429426456230295,5.0,73.0,-1.8231456637672707,80.0,-1.0010251156424026,81.0,-0.7517450695202514,84.0,-1.0892216973050548,85.0,-0.8108454718411986,,,,,,,,,,,,,,
13,5G__aa3_KO,-0.003531052624624796,0.08571281011028514,2.0,74.0,-0.0641391618881623,75.0,0.0570770566389127,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-0.2147297880236407,0.23492020281573275,2.0,76.0,-0.3808434564723644,77.0,-0.048616119574917,,,,,,,,,,,,,,,,,,,,
