,EQU24_RS09670
5GB1_FM03_TR1_QC_tpm,-0.7451895633191423
5GB1_FM03_TR2_QC_tpm,-0.2006403332660822
5GB1_FM11_TR1_QC_tpm,-1.0810617546953925
5GB1_FM11_TR2_QC_tpm,-0.7074252140779524
5GB1_FM12_TR1_tpm,-0.8024495630699189
5GB1_FM12_TR1_QC_tpm,-0.8334438344412538
5GB1_FM12_TR2_tpm,-0.6139678181126769
5GB1_FM12_TR2_QC_tpm,-0.6074376950011278
5GB1_FM14_TR1_tpm,-0.3367074674828307
5GB1_FM14_TR1_QC_tpm,-0.362743761659857
5GB1_FM14_TR2_tpm,-0.7657218858961397
5GB1_FM14_TR2_QC_tpm,-0.7869476207428088
5GB1_FM18_TR1_QC_tpm,-1.4793162541917155
5GB1_FM18_TR2_tpm,-1.06676506281938
5GB1_FM18_TR2_QC_tpm,-1.0032797173017656
5GB1_FM18_TR3_tpm,-1.3519363127375632
5GB1_FM18_TR3_QC_tpm,-1.207248034819174
5GB1_FM19_TR1_tpm,-0.4598219073996503
5GB1_FM19_TR1_QC_tpm,-0.1273336071370252
5GB1_FM19_TR1_UW_tpm,-0.0501748304402065
5GB1_FM19_TR3_tpm,0.1030495083027407
5GB1_FM19_TR3_QC_tpm,0.0550515482621882
5GB1_FM20_TR1_QC_tpm,-0.1076567781096535
5GB1_FM20_TR2_QC_tpm,0.460869223486994
5GB1_FM20_TR3_tpm,0.1438523275921115
5GB1_FM20_TR3_QC_tpm,0.2659580317498236
5GB1_FM20_TR3_UW_tpm,0.278451028687658
5GB1_FM21_TR1_tpm,-0.0197631573696117
5GB1_FM21_TR1_QC_tpm,0.0724822653470038
5GB1_FM21_TR2_tpm,-0.1576172907494593
5GB1_FM21_TR2_QC_tpm,-0.0379338785126615
5GB1_FM21_TR2_UW_tpm,0.0471881244630258
5GB1_FM22_TR1_tpm,-0.0643477020229541
5GB1_FM22_TR1_QC_tpm,-0.0500100756320538
5GB1_FM22_TR3_tpm,-0.5065672245816888
5GB1_FM22_TR3_QC_tpm,-0.092675358161637
5GB1_FM22_TR3_UW_tpm,-0.1218934009425334
5GB1_FM23_TR3_tpm,-1.430420368385315
5GB1_FM23_TR3_QC_tpm,-1.310880658424387
5GB1_FM34_T0_TR1_QC_tpm,-0.782700142398852
5GB1_FM34_T3_TR3_QC_tpm,-0.4074310829258163
5GB1_FM34_T4_TR3_QC_tpm,-0.2285079178861675
5GB1_FM34_T5_TR2_QC_tpm,-0.0449082852982121
5GB1_FM34_T6_TR3_QC_tpm,-0.2603416366412352
5GB1_FM34_T7_TR3_QC_tpm,-0.4707501851032303
5GB1_FM34_T8_TR1_QC_tpm,-0.2232521455614451
5GB1_FM40_T0_TR1_QC_tpm,-0.430159580108401
5GB1_FM40_T0m_TR2_tpm,-0.4101306090947592
5GB1_FM40_T10m_TR3_tpm,-0.3030588307669024
5GB1_FM40_T10m_TR3_QC_tpm,-0.3697303259943405
5GB1_FM40_T150m_TR1_QC_tpm,0.0678927575451897
5GB1_FM40_T150m_TR1_remake_tpm,-0.0001795102697288
5GB1_FM40_T180m_TR1_tpm,-0.1635515287116842
5GB1_FM40_T180m_TR1_QC_tpm,-0.0260469578939313
5GB1_FM40_T20m_TR2_tpm,-0.506006297199316
5GB1_FM40_T20m_TR2_QC_tpm,-0.8803720442505831
5GB1_FM40_T40m_TR1_tpm,-0.5213300398697474
5GB1_FM40_T40m_TR1_QC_tpm,-0.3478734802579035
5GB1_FM40_T60m_TR1_tpm,-0.0206616940892621
5GB1_FM40_T60m_TR1_QC_tpm,-0.6952761742718332
5GB1_FM40_T90m_TR2_tpm,-0.1126431769809217
5GB1_FM40_T90m_TR2_QC_tpm,0.032540727061594
5GB1_FM69_t3_TR1_tpm,-0.2219384790245158
5GB1_FM69_t3_TR1_UW_tpm,-0.3722621928427134
5GB1_FM69_t4_TR1_tpm,-0.5221741820699553
5GB1_FM69_t4_TR1_UW_tpm,-0.683334394318087
5GB1_FM80_t2_TR1_tpm,-0.7554758161581443
5GB1_FM80_t4_TR1_tpm,-0.9926717376253462
5GB1_FM81_t1_TR3_tpm,-1.3348360876545762
5GB1_FM81_t2_TR3_tpm,-1.1226462705387463
5GB1_LTrecycle_TR1_tpm,-0.6232627233863948
5GB1_LTrecycle_TR1_QC_tpm,-0.6703058851358215
5GB1_vial_wLa_TR3_tpm,-1.7486984793852969
5GB1_vial_woLa_TR2_tpm,-1.7499964917052733
5GB1_FM_85_TR1_tpm,-0.9334724169672848
5GB1_FM_85_TR2_tpm,-0.8127134262777327
5GB1_pA9_red_tpm,-0.2040506077402959
5GB1_pA9_yellow_tpm,-0.2929825554304175
5GB1C-5G-La-BR1_tpm,-1.2499024863139638
5GB1C-5G-La-BR2_tpm,-1.01251595619203
5GB1C-5G-N-BR1_tpm,-1.1566012799435104
5GB1C-5G-N-BR2_tpm,-1.1687274634414635
5GB1C-JG15-La-BR1_tpm,-1.3126857572880732
5GB1C-JG15-La-BR2_tpm,-1.212618099919176
5GB1C-JG15-N-BR1_tpm,-1.4011432902066732
5GB1C-JG15-N-BR2_tpm,-1.134507315947071
