,EQU24_RS19605
5GB1_FM03_TR1_QC_tpm,-0.6525454275698377
5GB1_FM03_TR2_QC_tpm,-1.03717732832746
5GB1_FM11_TR1_QC_tpm,-0.1442125049314617
5GB1_FM11_TR2_QC_tpm,-0.9928375000359716
5GB1_FM12_TR1_tpm,-0.5257098935728106
5GB1_FM12_TR1_QC_tpm,-0.6164807341497136
5GB1_FM12_TR2_tpm,-0.4320248826918824
5GB1_FM12_TR2_QC_tpm,-0.3504357846070343
5GB1_FM14_TR1_tpm,0.0090554215514115
5GB1_FM14_TR1_QC_tpm,-0.1733095665140629
5GB1_FM14_TR2_tpm,-0.5474477947962351
5GB1_FM14_TR2_QC_tpm,-0.2149464938733023
5GB1_FM18_TR1_QC_tpm,-0.6775149396787672
5GB1_FM18_TR2_tpm,-0.4673182345310285
5GB1_FM18_TR2_QC_tpm,-0.3213728565994846
5GB1_FM18_TR3_tpm,-0.9489465076218612
5GB1_FM18_TR3_QC_tpm,-0.8059132555641098
5GB1_FM19_TR1_tpm,-0.2655588329511908
5GB1_FM19_TR1_QC_tpm,-0.102857408116862
5GB1_FM19_TR1_UW_tpm,-0.0357476559083995
5GB1_FM19_TR3_tpm,0.0494913943422152
5GB1_FM19_TR3_QC_tpm,0.1074909804840056
5GB1_FM20_TR1_QC_tpm,0.4618652752780618
5GB1_FM20_TR2_QC_tpm,0.1070155326638351
5GB1_FM20_TR3_tpm,0.3182637603401452
5GB1_FM20_TR3_QC_tpm,0.5240164638064562
5GB1_FM20_TR3_UW_tpm,0.3145272404887118
5GB1_FM21_TR1_tpm,0.1675998637113986
5GB1_FM21_TR1_QC_tpm,-0.3806596580875774
5GB1_FM21_TR2_tpm,0.2234896303866935
5GB1_FM21_TR2_QC_tpm,-0.197247331298263
5GB1_FM21_TR2_UW_tpm,0.150851978607841
5GB1_FM22_TR1_tpm,-0.1913284955383172
5GB1_FM22_TR1_QC_tpm,-0.2766494923878053
5GB1_FM22_TR3_tpm,-0.4748244490616446
5GB1_FM22_TR3_QC_tpm,-0.2071008972393746
5GB1_FM22_TR3_UW_tpm,-0.1075540003326707
5GB1_FM23_TR3_tpm,-0.7500148438898322
5GB1_FM23_TR3_QC_tpm,-0.4658246336004947
5GB1_FM34_T0_TR1_QC_tpm,0.446185879259892
5GB1_FM34_T3_TR3_QC_tpm,0.0887919442251676
5GB1_FM34_T4_TR3_QC_tpm,0.197500207595177
5GB1_FM34_T5_TR2_QC_tpm,-0.1207261526728125
5GB1_FM34_T6_TR3_QC_tpm,0.5147997175157764
5GB1_FM34_T7_TR3_QC_tpm,0.4177469663310174
5GB1_FM34_T8_TR1_QC_tpm,0.3829290445317006
5GB1_FM40_T0_TR1_QC_tpm,0.7205604026110348
5GB1_FM40_T0m_TR2_tpm,0.4634647182627203
5GB1_FM40_T10m_TR3_tpm,0.4768961244815914
5GB1_FM40_T10m_TR3_QC_tpm,0.4920564735142949
5GB1_FM40_T150m_TR1_QC_tpm,0.5522398295745894
5GB1_FM40_T150m_TR1_remake_tpm,0.5435145629287639
5GB1_FM40_T180m_TR1_tpm,-0.258700197801718
5GB1_FM40_T180m_TR1_QC_tpm,-0.1877235204776828
5GB1_FM40_T20m_TR2_tpm,0.2987292695080474
5GB1_FM40_T20m_TR2_QC_tpm,0.4813867630499786
5GB1_FM40_T40m_TR1_tpm,0.1893232208717774
5GB1_FM40_T40m_TR1_QC_tpm,0.3059540938800318
5GB1_FM40_T60m_TR1_tpm,0.4357385992276501
5GB1_FM40_T60m_TR1_QC_tpm,0.1256708771722834
5GB1_FM40_T90m_TR2_tpm,0.1120320455584515
5GB1_FM40_T90m_TR2_QC_tpm,0.1570117950492464
5GB1_FM69_t3_TR1_tpm,2.2541024647810364
5GB1_FM69_t3_TR1_UW_tpm,1.990509146228718
5GB1_FM69_t4_TR1_tpm,1.8476925862892843
5GB1_FM69_t4_TR1_UW_tpm,1.1435619722555412
5GB1_FM80_t2_TR1_tpm,1.5893552043105508
5GB1_FM80_t4_TR1_tpm,1.056415263982929
5GB1_FM81_t1_TR3_tpm,1.5137404557036576
5GB1_FM81_t2_TR3_tpm,1.560348379484706
5GB1_LTrecycle_TR1_tpm,0.6939460439896428
5GB1_LTrecycle_TR1_QC_tpm,0.7970513665236834
5GB1_vial_wLa_TR3_tpm,1.7536545694168029
5GB1_vial_woLa_TR2_tpm,1.91076589214749
5GB1_FM_85_TR1_tpm,1.6981861837386527
5GB1_FM_85_TR2_tpm,1.1171433402736295
5GB1_pA9_red_tpm,1.3073784514321776
5GB1_pA9_yellow_tpm,0.14215793388704
5GB1C-5G-La-BR1_tpm,4.736555686086746
5GB1C-5G-La-BR2_tpm,3.3630697135017016
5GB1C-5G-N-BR1_tpm,4.697932508498871
5GB1C-5G-N-BR2_tpm,2.4590018067652526
5GB1C-JG15-La-BR1_tpm,6.343690850332596
5GB1C-JG15-La-BR2_tpm,6.0302909615493085
5GB1C-JG15-N-BR1_tpm,5.219818610663608
5GB1C-JG15-N-BR2_tpm,3.4541756134245523
