,EQU24_RS07300
5GB1_FM03_TR1_QC_tpm,-0.1918552490964193
5GB1_FM03_TR2_QC_tpm,-0.1995913429157321
5GB1_FM11_TR1_QC_tpm,-0.6581678942250955
5GB1_FM11_TR2_QC_tpm,-0.3303305920650263
5GB1_FM12_TR1_tpm,-0.9618971447239222
5GB1_FM12_TR1_QC_tpm,-0.9922151391900044
5GB1_FM12_TR2_tpm,-0.9928811645429408
5GB1_FM12_TR2_QC_tpm,-1.1000730196721626
5GB1_FM14_TR1_tpm,-0.2467100822906864
5GB1_FM14_TR1_QC_tpm,-0.1837146243087657
5GB1_FM14_TR2_tpm,-0.6270036493030604
5GB1_FM14_TR2_QC_tpm,-0.6066560336576217
5GB1_FM18_TR1_QC_tpm,-1.6692009843170732
5GB1_FM18_TR2_tpm,-1.5141842789210047
5GB1_FM18_TR2_QC_tpm,-1.5971422640360196
5GB1_FM18_TR3_tpm,-1.9121255040144272
5GB1_FM18_TR3_QC_tpm,-1.9505123681886
5GB1_FM19_TR1_tpm,-0.9885351536234523
5GB1_FM19_TR1_QC_tpm,-0.6200204953638009
5GB1_FM19_TR1_UW_tpm,-0.5675228816640443
5GB1_FM19_TR3_tpm,-0.4994450063797098
5GB1_FM19_TR3_QC_tpm,-0.5861973894217973
5GB1_FM20_TR1_QC_tpm,-0.2442504426328202
5GB1_FM20_TR2_QC_tpm,0.4630791421616687
5GB1_FM20_TR3_tpm,0.0037284554568266
5GB1_FM20_TR3_QC_tpm,0.2578970316939681
5GB1_FM20_TR3_UW_tpm,0.213615271811248
5GB1_FM21_TR1_tpm,-0.06917028303444
5GB1_FM21_TR1_QC_tpm,-0.070251464785537
5GB1_FM21_TR2_tpm,-0.2183075879693428
5GB1_FM21_TR2_QC_tpm,0.0227218870832137
5GB1_FM21_TR2_UW_tpm,0.0323845822273742
5GB1_FM22_TR1_tpm,-0.1418363864230141
5GB1_FM22_TR1_QC_tpm,-0.221507483096639
5GB1_FM22_TR3_tpm,-0.4187093609677106
5GB1_FM22_TR3_QC_tpm,-0.1677214889146778
5GB1_FM22_TR3_UW_tpm,-0.0922518727179708
5GB1_FM23_TR3_tpm,-2.047300971104752
5GB1_FM23_TR3_QC_tpm,-2.0697854021436264
5GB1_FM34_T0_TR1_QC_tpm,-0.6135676824437155
5GB1_FM34_T3_TR3_QC_tpm,-0.4178968877200635
5GB1_FM34_T4_TR3_QC_tpm,-0.1769028054305419
5GB1_FM34_T5_TR2_QC_tpm,-0.0684781808935879
5GB1_FM34_T6_TR3_QC_tpm,0.0787667890200465
5GB1_FM34_T7_TR3_QC_tpm,-0.2504649236699681
5GB1_FM34_T8_TR1_QC_tpm,-0.0734407741627194
5GB1_FM40_T0_TR1_QC_tpm,-0.3980541018083396
5GB1_FM40_T0m_TR2_tpm,-0.2734825797509099
5GB1_FM40_T10m_TR3_tpm,-0.4282680732642792
5GB1_FM40_T10m_TR3_QC_tpm,-0.3750756939458854
5GB1_FM40_T150m_TR1_QC_tpm,-0.4344961642271716
5GB1_FM40_T150m_TR1_remake_tpm,-0.3430924820075471
5GB1_FM40_T180m_TR1_tpm,-0.3037512803279396
5GB1_FM40_T180m_TR1_QC_tpm,-0.3472295741068025
5GB1_FM40_T20m_TR2_tpm,-0.5133958372541452
5GB1_FM40_T20m_TR2_QC_tpm,-0.3589774218260606
5GB1_FM40_T40m_TR1_tpm,-0.5504285727543099
5GB1_FM40_T40m_TR1_QC_tpm,-0.4547119883202919
5GB1_FM40_T60m_TR1_tpm,-0.3142028095508715
5GB1_FM40_T60m_TR1_QC_tpm,-0.4810477123315735
5GB1_FM40_T90m_TR2_tpm,-0.2909195477118684
5GB1_FM40_T90m_TR2_QC_tpm,-0.3807162133627217
5GB1_FM69_t3_TR1_tpm,-1.258610978739264
5GB1_FM69_t3_TR1_UW_tpm,-1.2458585435890424
5GB1_FM69_t4_TR1_tpm,-1.1678179209035973
5GB1_FM69_t4_TR1_UW_tpm,-1.0636334542093069
5GB1_FM80_t2_TR1_tpm,-1.105224302801438
5GB1_FM80_t4_TR1_tpm,-1.31383461208367
5GB1_FM81_t1_TR3_tpm,-1.6355245523190804
5GB1_FM81_t2_TR3_tpm,-1.6431961812764575
5GB1_LTrecycle_TR1_tpm,-1.1074209090325755
5GB1_LTrecycle_TR1_QC_tpm,-1.0936578659476277
5GB1_vial_wLa_TR3_tpm,-2.1905850554586426
5GB1_vial_woLa_TR2_tpm,-2.204158434397824
5GB1_FM_85_TR1_tpm,-1.83819741379716
5GB1_FM_85_TR2_tpm,-1.4104443026048328
5GB1_pA9_red_tpm,-0.1018055874144607
5GB1_pA9_yellow_tpm,0.0409908472153954
5GB1C-5G-La-BR1_tpm,-1.6808886079518135
5GB1C-5G-La-BR2_tpm,-1.478576682733168
5GB1C-5G-N-BR1_tpm,-1.4601575602693495
5GB1C-5G-N-BR2_tpm,-0.9793620914284212
5GB1C-JG15-La-BR1_tpm,-1.4507394386810937
5GB1C-JG15-La-BR2_tpm,-1.501314286550918
5GB1C-JG15-N-BR1_tpm,-1.5515751300070857
5GB1C-JG15-N-BR2_tpm,-0.9704076893636726
