,-0.08720197495405868,-0.06976157996324694,-0.05232118497243521,-0.03488078998162347,-0.017440394990811736,0.0,0.017440394990811736,0.03488078998162347,0.05232118497243521,0.06976157996324694,0.08720197495405868,0.10464236994487042,0.12208276493568215,0.1395231599264939,0.15696355491730563,0.17440394990811736,0.1918443448989291,0.20928473988974083,0.22672513488055257,0.2441655298713643
thresh,-0.07848177745865281,0.07848177745865281,1,,,,,,,,,,,,,,,,,
unreg,2,5,4,31,529,3161,403,39,8,2,1,4,6,7,7,2,2,0,0,0
unreg_genes,[nan nan],[],[],[],[],[],[],[],[],[],[nan],['umuD' 'nan' 'urtC' 'nan'],[nan nan nan nan nan nan],['nan' 'nan' 'cas2' 'nan' 'nan' 'nan' 'nan'],[nan nan nan nan nan nan nan],[nan nan],[nan nan],[],[],[]
